Ajuste Fino,Representação,Vetor,Tipo de Vetor,F-Score,Mínimo,Máximo,Desvio Padrão
Sim,ELMo+CNN+Vetor,Wang2Vec-Jur,Skip-Gram,86.86%,86.86%,86.86%,
Não,ELMo+Vetor,GloVe-Jur,Sem Vetor,86.44%,86.44%,86.44%,
Sim,ELMo+Vetor,GloVe-Jur,Sem Vetor,86.40%,86.40%,86.40%,
Sim,ELMo+Vetor,Wang2Vec-Jur,Skip-Gram,86.35%,86.35%,86.35%,
Não,ELMo+Vetor,FastText-Jur,Skip-Gram,86.34%,86.34%,86.34%,
Não,ELMo+Vetor,FastText-Jur,CBoW,86.21%,86.21%,86.21%,
Não,ELMo+Vetor,Word2Vec-Jur,Skip-Gram,86.16%,86.16%,86.16%,
Sim,ELMo+CNN+Vetor,Word2Vec-Jur,CBoW,86.16%,86.16%,86.16%,
Não,ELMo+CNN+Vetor,Wang2Vec-Jur,CBoW,86.16%,86.16%,86.16%,
Sim,ELMo+CNN+Vetor,FastText-Jur,Skip-Gram,86.11%,86.11%,86.11%,
Não,ELMo+Vetor,Wang2Vec-Jur,CBoW,85.98%,85.98%,85.98%,
Sim,ELMo+CNN+Vetor,Word2Vec-Jur,Skip-Gram,85.97%,85.97%,85.97%,
Sim,ELMo+Vetor,Word2Vec-Jur,CBoW,85.94%,85.94%,85.94%,
Sim,ELMo+CNN+Vetor,GloVe-Jur,Sem Vetor,85.93%,85.93%,85.93%,
Não,ELMo+Vetor,Wang2Vec-Jur,Skip-Gram,85.91%,85.91%,85.91%,
Não,ELMo+Vetor,Word2Vec-Jur,CBoW,85.88%,85.88%,85.88%,
Não,ELMo+CNN+Vetor,Word2Vec-Jur,Skip-Gram,85.77%,85.77%,85.77%,
Não,ELMo+CNN+Vetor,GloVe-Jur,Sem Vetor,85.76%,85.76%,85.76%,
Sim,ELMo+Vetor,FastText-Jur,CBoW,85.75%,85.75%,85.75%,
Não,ELMo+CNN+Vetor,FastText-Jur,Skip-Gram,85.74%,85.74%,85.74%,
Sim,ELMo+CNN+Vetor,FastText-Jur,CBoW,85.64%,85.64%,85.64%,
Não,ELMo+CNN+Vetor,Wang2Vec-Jur,Skip-Gram,85.61%,85.61%,85.61%,
Sim,ELMo+Vetor,Wang2Vec-Jur,CBoW,85.57%,85.57%,85.57%,
Não,ELMo+CNN+Vetor,FastText-Jur,CBoW,85.56%,85.56%,85.56%,
Sim,ELMo+Vetor,Word2Vec-Jur,Skip-Gram,85.54%,85.54%,85.54%,
Sim,ELMo+Vetor,FastText-Jur,Skip-Gram,85.44%,85.44%,85.44%,
Sim,ELMo+CNN+Vetor,Wang2Vec-Jur,CBoW,85.12%,85.12%,85.12%,
Não,ELMo+CNN+Vetor,Word2Vec-Jur,CBoW,85.10%,85.10%,85.10%,
