Model,Representation,Embedding,Embedding_Type,mean,min,max,std
harem,ELMo+Embeddings,wang2vec,skip,82.44%,82.44%,82.44%,
harem-ft,ELMo+CNN+Embeddings,wang2vec,cbow,81.87%,81.87%,81.87%,
harem,ELMo+CNN+Embeddings,word2vec,skip,81.81%,81.81%,81.81%,
harem-ft,ELMo+CNN+Embeddings,wang2vec,skip,81.77%,81.77%,81.77%,
harem-ft,ELMo+CNN+Embeddings,fasttext,skip,81.50%,81.50%,81.50%,
harem-ft,ELMo+CNN+Embeddings,word2vec,skip,81.43%,81.43%,81.43%,
harem,ELMo+CNN+Embeddings,fasttext,skip,81.42%,81.42%,81.42%,
harem-ft,ELMo+CNN,No,No,81.38%,81.38%,81.38%,
harem-ft,ELMo+Embeddings,fasttext,cbow,81.38%,81.38%,81.38%,
harem,ELMo+CNN+Embeddings,glove,No,81.37%,81.37%,81.37%,
harem,ELMo+Embeddings,glove,No,81.35%,81.35%,81.35%,
harem,ELMo+CNN+Embeddings,wang2vec,skip,81.21%,81.21%,81.21%,
harem,ELMo+Embeddings,word2vec,skip,81.17%,81.17%,81.17%,
harem,ELMo+CNN+Embeddings,fasttext,cbow,81.05%,81.05%,81.05%,
harem-ft,ELMo+CNN+Embeddings,word2vec,cbow,81.04%,81.04%,81.04%,
harem-ft,ELMo+CNN+Embeddings,glove,No,80.98%,80.98%,80.98%,
harem,ELMo,No,No,80.84%,80.84%,80.84%,
harem-ft,ELMo+CNN+Embeddings,fasttext,cbow,80.81%,80.81%,80.81%,
harem,ELMo+Embeddings,wang2vec,cbow,80.77%,80.77%,80.77%,
harem,ELMo+Embeddings,fasttext,skip,80.73%,80.73%,80.73%,
harem,ELMo+CNN+Embeddings,wang2vec,cbow,80.72%,80.72%,80.72%,
harem,ELMo+CNN+Embeddings,word2vec,cbow,80.69%,80.69%,80.69%,
harem,ELMo+Embeddings,fasttext,cbow,80.18%,80.18%,80.18%,
harem,ELMo+Embeddings,word2vec,cbow,79.84%,79.84%,79.84%,
harem,ELMo+CNN,No,No,79.41%,79.41%,79.41%,
