Ajuste Fino,Representação,Vetor,Tipo de Vetor,F-Score,Mínimo,Máximo,Desvio Padrão
Sim,ELMo+CNN+Vetor,Wang2Vec,CBoW,87.00%,87.00%,87.00%,
Sim,ELMo+CNN+Vetor,wang2vec-lc,Skip-Gram,86.86%,86.86%,86.86%,
Não,ELMo+Vetor,FastText,CBoW,86.49%,86.49%,86.49%,
Sim,ELMo+Vetor,Word2Vec,Skip-Gram,86.45%,86.45%,86.45%,
Não,ELMo+Vetor,glove-lc,Sem Vetor,86.44%,86.44%,86.44%,
Sim,ELMo+Vetor,glove-lc,Sem Vetor,86.40%,86.40%,86.40%,
Não,ELMo+Vetor,Wang2Vec,Skip-Gram,86.37%,86.37%,86.37%,
Sim,ELMo+Vetor,wang2vec-lc,Skip-Gram,86.35%,86.35%,86.35%,
Não,ELMo+Vetor,FastText,Skip-Gram,86.34%,86.34%,86.34%,
Não,ELMo+Vetor,fasttext-lc,Skip-Gram,86.34%,86.34%,86.34%,
Sim,ELMo,Sem Vetor,Sem Vetor,86.28%,86.28%,86.28%,
Não,ELMo+CNN,Sem Vetor,Sem Vetor,86.25%,86.25%,86.25%,
Não,ELMo+Vetor,fasttext-lc,CBoW,86.21%,86.21%,86.21%,
Não,ELMo+Vetor,word2vec-lc,Skip-Gram,86.16%,86.16%,86.16%,
Sim,ELMo+CNN+Vetor,word2vec-lc,CBoW,86.16%,86.16%,86.16%,
Não,ELMo+CNN+Vetor,wang2vec-lc,CBoW,86.16%,86.16%,86.16%,
Sim,ELMo+CNN+Vetor,fasttext-lc,Skip-Gram,86.11%,86.11%,86.11%,
Sim,ELMo+CNN+Vetor,GloVe,Sem Vetor,86.11%,86.11%,86.11%,
Sim,ELMo+CNN+Vetor,Word2Vec,CBoW,86.10%,86.10%,86.10%,
Não,ELMo+Vetor,GloVe,Sem Vetor,86.00%,86.00%,86.00%,
Não,ELMo+Vetor,wang2vec-lc,CBoW,85.98%,85.98%,85.98%,
Sim,ELMo+CNN+Vetor,word2vec-lc,Skip-Gram,85.97%,85.97%,85.97%,
Sim,ELMo+Vetor,FastText,CBoW,85.96%,85.96%,85.96%,
Sim,ELMo+Vetor,Wang2Vec,CBoW,85.95%,85.95%,85.95%,
Sim,ELMo+Vetor,word2vec-lc,CBoW,85.94%,85.94%,85.94%,
Sim,ELMo+CNN+Vetor,glove-lc,Sem Vetor,85.93%,85.93%,85.93%,
Não,ELMo+Vetor,wang2vec-lc,Skip-Gram,85.91%,85.91%,85.91%,
Não,ELMo+Vetor,word2vec-lc,CBoW,85.88%,85.88%,85.88%,
Não,ELMo+Vetor,Wang2Vec,CBoW,85.87%,85.87%,85.87%,
Não,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,85.78%,85.78%,85.78%,
Sim,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,85.77%,85.77%,85.77%,
Não,ELMo+CNN+Vetor,word2vec-lc,Skip-Gram,85.77%,85.77%,85.77%,
Não,ELMo+CNN+Vetor,FastText,CBoW,85.77%,85.77%,85.77%,
Não,ELMo+CNN+Vetor,glove-lc,Sem Vetor,85.76%,85.76%,85.76%,
Sim,ELMo+Vetor,fasttext-lc,CBoW,85.75%,85.75%,85.75%,
Não,ELMo+CNN+Vetor,fasttext-lc,Skip-Gram,85.74%,85.74%,85.74%,
Não,ELMo+Vetor,Word2Vec,Skip-Gram,85.74%,85.74%,85.74%,
Sim,ELMo+Vetor,Word2Vec,CBoW,85.73%,85.73%,85.73%,
Sim,ELMo+CNN+Vetor,FastText,CBoW,85.70%,85.70%,85.70%,
Sim,ELMo+CNN+Vetor,FastText,Skip-Gram,85.69%,85.69%,85.69%,
Não,ELMo+CNN+Vetor,Word2Vec,CBoW,85.68%,85.68%,85.68%,
Sim,ELMo+CNN+Vetor,fasttext-lc,CBoW,85.64%,85.64%,85.64%,
Não,ELMo+CNN+Vetor,wang2vec-lc,Skip-Gram,85.61%,85.61%,85.61%,
Não,ELMo+Vetor,Word2Vec,CBoW,85.58%,85.58%,85.58%,
Sim,ELMo+Vetor,wang2vec-lc,CBoW,85.57%,85.57%,85.57%,
Sim,ELMo+CNN+Vetor,Wang2Vec,Skip-Gram,85.56%,85.56%,85.56%,
Não,ELMo+CNN+Vetor,fasttext-lc,CBoW,85.56%,85.56%,85.56%,
Sim,ELMo+Vetor,word2vec-lc,Skip-Gram,85.54%,85.54%,85.54%,
Não,ELMo+CNN+Vetor,GloVe,Sem Vetor,85.48%,85.48%,85.48%,
Sim,ELMo+Vetor,fasttext-lc,Skip-Gram,85.44%,85.44%,85.44%,
Não,ELMo+CNN+Vetor,Wang2Vec,Skip-Gram,85.37%,85.37%,85.37%,
Não,ELMo+CNN+Vetor,Wang2Vec,CBoW,85.18%,85.18%,85.18%,
Sim,ELMo+Vetor,FastText,Skip-Gram,85.14%,85.14%,85.14%,
Sim,ELMo+CNN+Vetor,wang2vec-lc,CBoW,85.12%,85.12%,85.12%,
Não,ELMo+CNN+Vetor,word2vec-lc,CBoW,85.10%,85.10%,85.10%,
Sim,ELMo+Vetor,GloVe,Sem Vetor,85.07%,85.07%,85.07%,
Sim,ELMo+CNN,Sem Vetor,Sem Vetor,85.02%,85.02%,85.02%,
Não,ELMo,Sem Vetor,Sem Vetor,85.00%,85.00%,85.00%,
Sim,ELMo+Vetor,Wang2Vec,Skip-Gram,84.87%,84.87%,84.87%,
Não,ELMo+CNN+Vetor,FastText,Skip-Gram,84.79%,84.79%,84.79%,
