Ajuste Fino,Representação,Vetor,Tipo de Vetor,F-Score,Mínimo,Máximo,Desvio Padrão
Não,ELMo+CNN+Vetor,Wang2Vec,CBoW,80.60%,78.96%,82.16%,0.75%
Sim,ELMo+CNN+Vetor,Wang2Vec,Skip-Gram,80.58%,78.78%,81.91%,0.81%
Não,ELMo+CNN+Vetor,Word2Vec,CBoW,80.57%,79.08%,81.99%,0.71%
Sim,ELMo+CNN+Vetor,Wang2Vec,CBoW,80.50%,78.51%,82.32%,0.78%
Sim,ELMo+CNN+Vetor,GloVe,Sem Vetor,80.49%,77.39%,81.90%,0.77%
Não,ELMo+CNN+Vetor,GloVe,Sem Vetor,80.47%,79.16%,81.35%,0.58%
Não,ELMo+CNN,Sem Vetor,Sem Vetor,80.41%,79.29%,81.20%,0.49%
Não,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,80.38%,77.24%,81.84%,1.08%
Sim,ELMo+Vetor,Word2Vec,CBoW,80.37%,77.69%,81.60%,0.82%
Sim,ELMo+Vetor,GloVe,Sem Vetor,80.34%,78.82%,81.85%,0.57%
Não,ELMo+CNN+Vetor,FastText,Skip-Gram,80.34%,77.67%,81.62%,0.77%
Sim,ELMo+CNN+Vetor,Word2Vec,CBoW,80.33%,78.57%,81.57%,0.72%
Sim,ELMo+Vetor,Wang2Vec,Skip-Gram,80.25%,77.75%,81.31%,0.63%
Sim,ELMo+Vetor,Wang2Vec,CBoW,80.24%,79.26%,81.26%,0.49%
Não,ELMo+CNN+Vetor,Wang2Vec,Skip-Gram,80.20%,78.17%,81.39%,0.84%
Não,ELMo,Sem Vetor,Sem Vetor,80.20%,78.52%,81.51%,0.63%
Sim,ELMo+CNN+Vetor,FastText,Skip-Gram,80.20%,78.51%,81.77%,0.72%
Sim,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,80.18%,75.41%,81.46%,0.91%
Sim,ELMo+Vetor,Word2Vec,Skip-Gram,80.16%,78.29%,81.24%,0.63%
Sim,ELMo+Vetor,FastText,Skip-Gram,80.16%,79.17%,81.01%,0.52%
Não,ELMo+Vetor,Wang2Vec,CBoW,80.09%,78.18%,81.35%,0.80%
Não,ELMo+Vetor,Word2Vec,CBoW,80.07%,78.31%,81.68%,0.65%
Não,ELMo+Vetor,GloVe,Sem Vetor,80.04%,78.07%,81.36%,0.81%
Não,ELMo+Vetor,Wang2Vec,Skip-Gram,79.99%,78.01%,81.15%,0.88%
Não,ELMo+Vetor,FastText,Skip-Gram,79.98%,78.60%,81.26%,0.62%
Não,ELMo+Vetor,Word2Vec,Skip-Gram,79.95%,77.88%,81.42%,0.95%
Sim,ELMo+CNN,Sem Vetor,Sem Vetor,79.86%,78.07%,81.59%,0.81%
Sim,ELMo,Sem Vetor,Sem Vetor,79.71%,76.65%,80.97%,0.77%
Sim,ELMo+CNN+Vetor,FastText,CBoW,79.23%,76.49%,80.86%,0.74%
Não,ELMo+Vetor,FastText,CBoW,79.21%,76.81%,80.27%,0.80%
Não,ELMo+CNN+Vetor,FastText,CBoW,79.11%,77.41%,80.81%,0.64%
Sim,ELMo+Vetor,FastText,CBoW,79.10%,76.90%,80.85%,0.64%
