Ajuste Fino,Representação,Vetor,Tipo de Vetor,F-Score,Mínimo,Máximo,Desvio Padrão
Sim,ELMo+Vetor,word2vec-lc,Skip-Gram,88.77%,88.24%,88.88%,0.20%
Sim,ELMo+Vetor,glove-lc,Sem Vetor,88.68%,88.22%,89.06%,0.19%
Sim,ELMo+Vetor,GloVe,Sem Vetor,88.68%,88.64%,88.86%,0.07%
Sim,ELMo+CNN+Vetor,GloVe,Sem Vetor,88.67%,88.45%,89.15%,0.19%
Não,ELMo+Vetor,wang2vec-lc,CBoW,88.67%,88.40%,88.78%,0.10%
Não,ELMo+CNN+Vetor,GloVe,Sem Vetor,88.67%,88.13%,89.12%,0.28%
Sim,ELMo+CNN+Vetor,Wang2Vec,Skip-Gram,88.61%,88.46%,88.96%,0.15%
Não,ELMo+Vetor,word2vec-lc,CBoW,88.61%,88.08%,88.78%,0.26%
Não,ELMo+Vetor,Word2Vec,Skip-Gram,88.57%,88.53%,88.75%,0.06%
Sim,ELMo+CNN+Vetor,Word2Vec,CBoW,88.55%,88.04%,89.07%,0.30%
Sim,ELMo,Sem Vetor,Sem Vetor,88.54%,88.18%,88.92%,0.24%
Não,ELMo+Vetor,GloVe,Sem Vetor,88.54%,88.18%,88.75%,0.13%
Sim,ELMo+CNN+Vetor,glove-lc,Sem Vetor,88.50%,88.07%,89.14%,0.39%
Sim,ELMo+Vetor,Word2Vec,CBoW,88.47%,88.28%,88.58%,0.08%
Não,ELMo+Vetor,word2vec-lc,Skip-Gram,88.47%,88.38%,88.85%,0.17%
Não,ELMo,Sem Vetor,Sem Vetor,88.46%,88.32%,88.63%,0.08%
Não,ELMo+Vetor,Wang2Vec,Skip-Gram,88.45%,88.08%,88.54%,0.17%
Sim,ELMo+Vetor,Wang2Vec,CBoW,88.44%,87.96%,88.79%,0.19%
Não,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,88.43%,87.89%,88.79%,0.27%
Sim,ELMo+Vetor,wang2vec-lc,CBoW,88.42%,88.36%,88.57%,0.07%
Não,ELMo+CNN+Vetor,Wang2Vec,Skip-Gram,88.42%,87.96%,88.80%,0.28%
Não,ELMo+CNN+Vetor,glove-lc,Sem Vetor,88.37%,87.83%,88.74%,0.35%
Não,ELMo+CNN+Vetor,Word2Vec,CBoW,88.36%,87.89%,88.79%,0.24%
Não,ELMo+Vetor,Word2Vec,CBoW,88.34%,87.99%,88.85%,0.19%
Sim,ELMo+CNN+Vetor,wang2vec-lc,CBoW,88.34%,87.96%,88.66%,0.22%
Sim,ELMo+Vetor,Word2Vec,Skip-Gram,88.33%,88.24%,88.86%,0.19%
Sim,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,88.33%,87.95%,88.72%,0.24%
