Modelo,Representação,Vetor,Tipo de Vetor,Domínio Específico,F-Score,Mínimo,Máximo,Desvio Padrão
ELMo-af Jurídico,ELMo+Vetor,Word2Vec,Skip-Gram,Sim,88.77%,88.24%,88.88%,0.20%
ELMo-af Jurídico,ELMo+Vetor,GloVe,GloVe,Sim,88.68%,88.22%,89.06%,0.19%
ELMo-af Jurídico,ELMo+Vetor,GloVe,GloVe,Não,88.68%,88.64%,88.86%,0.07%
ELMo-af Jurídico,ELMo+CNN+Vetor,GloVe,GloVe,Não,88.67%,88.45%,89.15%,0.19%
ELMo Jurídico,ELMo+Vetor,Wang2Vec,CBoW,Sim,88.67%,88.40%,88.78%,0.10%
ELMo Jurídico,ELMo+CNN+Vetor,GloVe,GloVe,Não,88.67%,88.13%,89.12%,0.28%
ELMo-af Jurídico,ELMo+CNN+Vetor,Wang2Vec,Skip-Gram,Não,88.61%,88.46%,88.96%,0.15%
ELMo Jurídico,ELMo+Vetor,Word2Vec,CBoW,Sim,88.61%,88.08%,88.78%,0.26%
ELMo Jurídico,ELMo+Vetor,Word2Vec,Skip-Gram,Não,88.57%,88.53%,88.75%,0.06%
ELMo-af Jurídico,ELMo+CNN+Vetor,Word2Vec,CBoW,Não,88.55%,88.04%,89.07%,0.30%
ELMo-af Jurídico,ELMo,Sem Vetor,Sem Vetor,Não,88.54%,88.18%,88.92%,0.24%
ELMo Jurídico,ELMo+Vetor,GloVe,GloVe,Não,88.54%,88.18%,88.75%,0.13%
ELMo-af Jurídico,ELMo+CNN+Vetor,GloVe,GloVe,Sim,88.50%,88.07%,89.14%,0.39%
ELMo-af Jurídico,ELMo+Vetor,Word2Vec,CBoW,Não,88.47%,88.28%,88.58%,0.08%
ELMo Jurídico,ELMo+Vetor,Word2Vec,Skip-Gram,Sim,88.47%,88.38%,88.85%,0.17%
ELMo Jurídico,ELMo,Sem Vetor,Sem Vetor,Não,88.46%,88.32%,88.63%,0.08%
ELMo Jurídico,ELMo+Vetor,Wang2Vec,Skip-Gram,Não,88.45%,88.08%,88.54%,0.17%
ELMo-af Jurídico,ELMo+Vetor,Wang2Vec,CBoW,Não,88.44%,87.96%,88.79%,0.19%
ELMo Jurídico,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,Não,88.43%,87.89%,88.79%,0.27%
ELMo-af Jurídico,ELMo+Vetor,Wang2Vec,CBoW,Sim,88.42%,88.36%,88.57%,0.07%
ELMo Jurídico,ELMo+CNN+Vetor,Wang2Vec,Skip-Gram,Não,88.42%,87.96%,88.80%,0.28%
ELMo Jurídico,ELMo+CNN+Vetor,GloVe,GloVe,Sim,88.37%,87.83%,88.74%,0.35%
ELMo Jurídico,ELMo+CNN+Vetor,Word2Vec,CBoW,Não,88.36%,87.89%,88.79%,0.24%
ELMo Jurídico,ELMo+Vetor,Word2Vec,CBoW,Não,88.34%,87.99%,88.85%,0.19%
ELMo-af Jurídico,ELMo+CNN+Vetor,Wang2Vec,CBoW,Sim,88.34%,87.96%,88.66%,0.22%
ELMo-af Jurídico,ELMo+Vetor,Word2Vec,Skip-Gram,Não,88.33%,88.24%,88.86%,0.19%
ELMo-af Jurídico,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,Não,88.33%,87.95%,88.72%,0.24%
ELMo Jurídico,ELMo+CNN+Vetor,FastText,Skip-Gram,Sim,88.33%,87.99%,88.59%,0.18%
ELMo Jurídico,ELMo+CNN+Vetor,Wang2Vec,CBoW,Sim,88.33%,88.08%,88.60%,0.17%
ELMo Jurídico,ELMo+CNN+Vetor,FastText,Skip-Gram,Não,88.32%,87.72%,88.70%,0.26%
ELMo-af Jurídico,ELMo+CNN,Sem Vetor,Sem Vetor,Não,88.32%,87.65%,88.75%,0.29%
ELMo-af Jurídico,ELMo+CNN+Vetor,FastText,Skip-Gram,Sim,88.29%,88.05%,88.60%,0.18%
ELMo Jurídico,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,Sim,88.28%,87.86%,89.00%,0.38%
ELMo-af Jurídico,ELMo+Vetor,FastText,Skip-Gram,Não,88.27%,88.00%,88.51%,0.14%
ELMo Jurídico,ELMo+Vetor,GloVe,GloVe,Sim,88.27%,88.24%,88.39%,0.05%
ELMo-af Jurídico,ELMo+CNN+Vetor,Wang2Vec,Skip-Gram,Sim,88.23%,87.69%,88.55%,0.27%
ELMo Jurídico,ELMo+CNN+Vetor,Wang2Vec,Skip-Gram,Sim,88.21%,87.79%,88.66%,0.27%
ELMo-af Jurídico,ELMo+Vetor,Wang2Vec,Skip-Gram,Não,88.21%,88.16%,88.35%,0.08%
ELMo-af Jurídico,ELMo+CNN+Vetor,Wang2Vec,CBoW,Não,88.20%,87.76%,88.47%,0.21%
ELMo Jurídico,ELMo+CNN+Vetor,FastText,CBoW,Não,88.20%,87.04%,88.88%,0.45%
ELMo Jurídico,ELMo+CNN+Vetor,Wang2Vec,CBoW,Não,88.20%,87.75%,88.48%,0.20%
ELMo Jurídico,ELMo+CNN+Vetor,Word2Vec,CBoW,Sim,88.18%,87.82%,88.47%,0.20%
ELMo-af Jurídico,ELMo+Vetor,Wang2Vec,Skip-Gram,Sim,88.17%,88.14%,88.37%,0.08%
ELMo Jurídico,ELMo+Vetor,FastText,Skip-Gram,Sim,88.15%,87.82%,88.39%,0.15%
ELMo Jurídico,ELMo+CNN,Sem Vetor,Sem Vetor,Não,88.14%,87.46%,88.49%,0.33%
ELMo-af Jurídico,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,Sim,88.14%,87.80%,88.65%,0.26%
ELMo-af Jurídico,ELMo+CNN+Vetor,FastText,Skip-Gram,Não,88.13%,87.81%,88.56%,0.19%
ELMo-af Jurídico,ELMo+Vetor,FastText,Skip-Gram,Sim,88.12%,87.97%,88.64%,0.18%
ELMo Jurídico,ELMo+Vetor,FastText,Skip-Gram,Não,88.11%,88.04%,88.44%,0.15%
