Training_ID,Model,Representation,Embedding,Corpus_Type,Embedding_Type,Domain_Specific,Dimension,Embedding_Dimension,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
datalawyer-ft_ELMo+CNN+Embeddings_glove-lc_jur_10B-jur2vec-nilc-brwac_win-15_s100_0,datalawyer-ft,ELMo+CNN+Embeddings,glove,10B-jur2vec-nilc-brwac,No,Sim,100,No_100,0,9,10,0:25:05.229618,1505.0,150.5,0.9955051200961498,0.9957175722185465,0.949467170849089,0.9451351659632714,0.9472962158453827,24.399190866142693,0.98925806732191,0.9896059841697834,0.9133777549974372,0.927159209157128,0.9202168861347294,84.79877962384906,0.989247461787348,0.9896937409349548,0.9121926743602609,0.9094547273636818,0.9108216432865233,84.59918526240757
datalawyer-ft_ELMo+CNN+Embeddings_glove-lc_jur_10B-jur2vec-nilc-brwac_win-15_s100_1,datalawyer-ft,ELMo+CNN+Embeddings,glove,10B-jur2vec-nilc-brwac,No,Sim,100,No_100,1,9,10,0:25:00.450945,1500.0,150.0,0.9955142251871096,0.9957236422791864,0.9493192998512756,0.9465039352115889,0.947909527073288,24.62142820884845,0.9893015569278942,0.9897074599170799,0.9117043121149897,0.9240374609781478,0.9178294573642911,84.26342582702637,0.9886338279593886,0.9889964297668191,0.916582406471183,0.9069534767383692,0.9117425194870007,85.46600518907819
datalawyer-ft_ELMo+CNN+Embeddings_glove-lc_jur_10B-jur2vec-nilc-brwac_win-15_s100_2,datalawyer-ft,ELMo+CNN+Embeddings,glove,10B-jur2vec-nilc-brwac,No,Sim,100,No_100,2,9,10,0:25:00.631538,1500.0,150.0,0.9954049640955913,0.9956052760967082,0.9478608100399315,0.9476445762518535,0.9477526808121791,24.942912214372786,0.9900698733002812,0.9903743005421705,0.913624678663239,0.9245577523413111,0.9190587018359986,82.83075507027762,0.9880480865781547,0.988466473279036,0.9082706766917293,0.9064532266133066,0.9073610415622936,88.19851384844098
datalawyer-ft_ELMo+CNN+Embeddings_glove-lc_jur_10B-jur2vec-nilc-brwac_win-15_s100_3,datalawyer-ft,ELMo+CNN+Embeddings,glove,10B-jur2vec-nilc-brwac,No,Sim,100,No_100,3,8,10,0:25:00.009461,1500.0,150.0,0.9958268333100647,0.9960483905234213,0.9515352887259395,0.9473023839397742,0.9494141183194699,24.069163851942754,0.9888811574033806,0.9891420950392856,0.9071537290715372,0.9302809573361083,0.9185717955303894,84.28907135554722,0.9890801071069955,0.989247461787348,0.9125248508946322,0.9184592296148074,0.9154824233357767,86.33200571877616
datalawyer-ft_ELMo+CNN+Embeddings_glove-lc_jur_10B-jur2vec-nilc-brwac_win-15_s100_4,datalawyer-ft,ELMo+CNN+Embeddings,glove,10B-jur2vec-nilc-brwac,No,Sim,100,No_100,4,9,10,0:25:03.064172,1503.0,150.3,0.9954110341562312,0.995620451248308,0.9471516815374056,0.9444507813391125,0.945799303215439,24.4134423352458,0.9897219564524079,0.9900553767649531,0.9088581669226831,0.9235171696149844,0.9161290322580147,81.94635260445732,0.9890103759901818,0.9893590315742496,0.9120439780109945,0.9129564782391195,0.9124999999999501,86.95564379010882
datalawyer-ft_ELMo+CNN+Embeddings_glove-lc_jur_10B-jur2vec-nilc-brwac_win-15_s100_5,datalawyer-ft,ELMo+CNN+Embeddings,glove,10B-jur2vec-nilc-brwac,No,Sim,100,No_100,5,9,10,0:25:00.145805,1500.0,150.0,0.9958996740377436,0.9961424764633399,0.9531768746422439,0.9496977301243299,0.9514341218145997,23.513783836657286,0.9893160534632223,0.9895914876344554,0.9105858170606372,0.9219562955254943,0.9162357807652034,84.92551501137869,0.9885640968425751,0.9889127524266429,0.9059233449477352,0.9104552276138069,0.908183632734481,88.00018781934466
datalawyer-ft_ELMo+CNN+Embeddings_glove-lc_jur_10B-jur2vec-nilc-brwac_win-15_s100_6,datalawyer-ft,ELMo+CNN+Embeddings,glove,10B-jur2vec-nilc-brwac,No,Sim,100,No_100,6,5,10,0:24:56.883977,1496.0,149.6,0.9955476105206291,0.995753992582386,0.9506017191977078,0.946047678795483,0.9483192316487037,24.663143647960357,0.9894320257458468,0.9897219564524079,0.9088130412633724,0.9281997918834547,0.9184041184040683,80.88958282470703,0.988466473279036,0.9885780430659378,0.9022332506203474,0.9094547273636818,0.905829596412506,80.50879911695208
datalawyer-ft_ELMo+CNN+Embeddings_glove-lc_jur_10B-jur2vec-nilc-brwac_win-15_s100_7,datalawyer-ft,ELMo+CNN+Embeddings,glove,10B-jur2vec-nilc-brwac,No,Sim,100,No_100,7,6,10,0:25:04.269821,1504.0,150.4,0.9957023970669467,0.995936094401583,0.9520477228404267,0.9466179993156154,0.9493250972317048,24.718463119553643,0.9890406192919892,0.9893450465338784,0.9128651973347002,0.9266389177939646,0.9197004905757312,82.98596834455218,0.9890103759901818,0.989149838223809,0.905284147557328,0.9084542271135568,0.9068664169787265,76.35896906171526
datalawyer-ft_ELMo+CNN+Embeddings_glove-lc_jur_10B-jur2vec-nilc-brwac_win-15_s100_8,datalawyer-ft,ELMo+CNN+Embeddings,glove,10B-jur2vec-nilc-brwac,No,Sim,100,No_100,8,6,10,0:24:58.424911,1498.0,149.8,0.9954535245807106,0.995623486278628,0.9484181568088033,0.9437663967149538,0.9460865588016195,24.950153982712447,0.9888521643327245,0.9890551158273173,0.9084435401831129,0.9292403746097815,0.9187242798353409,81.57832644326346,0.9884246346089479,0.9885780430659378,0.9053518334985133,0.9139569784892446,0.9096340552650733,77.95483175005232
datalawyer-ft_ELMo+CNN+Embeddings_glove-lc_jur_10B-jur2vec-nilc-brwac_win-15_s100_9,datalawyer-ft,ELMo+CNN+Embeddings,glove,10B-jur2vec-nilc-brwac,No,Sim,100,No_100,9,9,10,0:25:08.038145,1508.0,150.8,0.9952653527008735,0.9954353143987908,0.9468024253517904,0.9439945249230067,0.9453963902215631,25.057446640693335,0.9893450465338784,0.989750949523064,0.9116589625064201,0.9235171696149844,0.9175497544584663,87.59235390254429,0.9889127524266429,0.9893590315742496,0.9095,0.9099549774887443,0.9097274318579145,84.02550977979388
