Training_ID,Model,Representation,Embedding,Corpus_Type,Embedding_Type,Domain_Specific,Dimension,Embedding_Dimension,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
datalawyer-ft_ELMo+CNN+GloVe_0,datalawyer-ft,ELMo+CNN+GloVe,glove,Nilc,glove,Não,300,glove_300,0,8,10,0:47:46.995200,2866.0,286.6,0.9958693237345441,0.9960180402202218,0.9564372284472902,0.9541462301813619,0.9552903557356892,9.8923398121003,0.9894465222811748,0.9896204807051114,0.9156378600823045,0.9261186264308012,0.9208484221416986,34.97291244779314,0.9895682249246904,0.98987504183867,0.9167919799498747,0.9149574787393697,0.9158738107160241,35.94803041049412
datalawyer-ft_ELMo+CNN+GloVe_1,datalawyer-ft,ELMo+CNN+GloVe,glove,Nilc,glove,Não,300,glove_300,1,9,10,0:47:35.224100,2855.0,285.5,0.9957904129462253,0.9959118141590234,0.9543791447518866,0.9520930763088856,0.9532347399074472,9.674588923073985,0.9895479980284712,0.9898669218056885,0.9151577858251423,0.9203954214360042,0.917769130998653,36.621234566824775,0.9887453977462903,0.9891777306705344,0.9133937562940584,0.9074537268634317,0.9104140526975661,34.89720424243382
datalawyer-ft_ELMo+CNN+GloVe_2,datalawyer-ft,ELMo+CNN+GloVe,glove,Nilc,glove,Não,300,glove_300,2,7,10,0:47:25.671024,2845.0,284.5,0.9958511135526243,0.9959876899170222,0.9548320531927089,0.9500399224364092,0.9524299599770798,9.617722956589395,0.9893160534632223,0.9895914876344554,0.9137842023748064,0.9209157127991675,0.9173360974345185,39.04412434441703,0.9890382684369072,0.9893729777976124,0.9095452273863068,0.9104552276138069,0.90999999999995,35.441572720663885
datalawyer-ft_ELMo+CNN+GloVe_3,datalawyer-ft,ELMo+CNN+GloVe,glove,Nilc,glove,Não,300,glove_300,3,9,10,0:48:24.071750,2904.0,290.4,0.9958632536739042,0.9959876899170222,0.954233409610984,0.9512946275807004,0.9527617524418306,9.620383638317234,0.9894755153518309,0.9901423559769215,0.9242819843342036,0.9209157127991675,0.9225957779514745,38.53533717564174,0.9891079995537209,0.9897634720517684,0.9205298013245033,0.903951975987994,0.9121655729429081,38.219587680271694
datalawyer-ft_ELMo+CNN+GloVe_4,datalawyer-ft,ELMo+CNN+GloVe,glove,Nilc,glove,Não,300,glove_300,4,9,10,0:48:51.561293,2931.0,293.1,0.9957327473701463,0.9958966390074236,0.9539255014326647,0.9493555378122505,0.9516350331579652,9.761408970582705,0.9891855846452697,0.9895479980284712,0.9154203197524498,0.9235171696149844,0.9194509194508695,39.67191880089896,0.9881875488117817,0.9885919892893005,0.9172970247100353,0.9099549774887443,0.9136112506277753,39.59238460404532
datalawyer-ft_ELMo+CNN+GloVe_5,datalawyer-ft,ELMo+CNN+GloVe,glove,Nilc,glove,Não,300,glove_300,5,6,10,0:48:22.288716,2902.0,290.2,0.9959057440983835,0.9960332153718215,0.9552102376599635,0.9535759096612296,0.9543923739938995,9.764675020805898,0.9896784668464237,0.990011887158969,0.9202485758674263,0.9245577523413111,0.9223981313261894,36.2483354977199,0.9891637844471717,0.9893311391275242,0.9145,0.9149574787393697,0.9147286821704927,34.846567903246196
datalawyer-ft_ELMo+CNN+GloVe_6,datalawyer-ft,ELMo+CNN+GloVe,glove,Nilc,glove,Não,300,glove_300,6,9,10,0:48:13.357837,2893.0,289.3,0.9958662887042241,0.9960392854324615,0.9551487414187643,0.9522071404129121,0.9536756725880576,9.323486625554006,0.9898234321997043,0.9901133629062654,0.9161522633744856,0.9266389177939646,0.9213657527159356,36.47685947418213,0.9903073747629142,0.9905444605600803,0.9230382293762576,0.9179589794897449,0.9204915976924507,36.757491670336044
datalawyer-ft_ELMo+CNN+GloVe_7,datalawyer-ft,ELMo+CNN+GloVe,glove,Nilc,glove,Não,300,glove_300,7,9,10,0:48:09.990225,2889.0,288.9,0.9958450434919844,0.9960180402202218,0.9559395742732891,0.9527774609330444,0.9543558983147171,9.667181336440922,0.9901423559769215,0.9903018178655302,0.9186824498198661,0.9287200832466181,0.9236739974126279,39.00918827056885,0.9894148164677006,0.9898053107218565,0.9146280579131303,0.9164582291145573,0.9155422288855073,37.675024672916955
datalawyer-ft_ELMo+CNN+GloVe_8,datalawyer-ft,ELMo+CNN+GloVe,glove,Nilc,glove,Não,300,glove_300,8,6,10,0:48:29.329789,2909.0,290.9,0.9959573396138227,0.9960908809479007,0.9558352402745995,0.9528915250370709,0.954361112697728,9.490133175454988,0.9892000811805979,0.9894755153518309,0.9122626988199076,0.9250780437044746,0.9186256781192991,37.48915373938424,0.9895403324779649,0.9896797947115921,0.9120715350223547,0.9184592296148074,0.9152542372880856,32.83746205057417
datalawyer-ft_ELMo+CNN+GloVe_9,datalawyer-ft,ELMo+CNN+GloVe,glove,Nilc,glove,Não,300,glove_300,9,9,10,0:48:15.484453,2895.0,289.5,0.9960574956143812,0.9962365624032584,0.9555377757457996,0.9535759096612296,0.9545558346653987,9.663358653798426,0.9894465222811748,0.9900553767649531,0.9158926728586171,0.9235171696149844,0.9196891191709345,39.24260652405875,0.9890382684369072,0.9896240098181412,0.9192327107521454,0.9109554777388694,0.9150753768843721,39.46257348741804
datalawyer-ft_ELMo+CNN+GloVe-jur_0,datalawyer-ft,ELMo+CNN+GloVe-jur,glove,Nilc,glove,Não,300,glove_300,0,6,10,0:47:33.598571,2853.0,285.3,0.9956356263999078,0.9958329033707046,0.951319849160096,0.9495836660203034,0.9504509647219502,10.548158193841303,0.9892000811805979,0.9895769910991273,0.9146968139773896,0.9261186264308012,0.9203722854187711,40.076294789995465,0.988954591096731,0.9892614080107107,0.9106874059207225,0.9079539769884942,0.9093186372744991,39.32049308504377
datalawyer-ft_ELMo+CNN+GloVe-jur_1,datalawyer-ft,ELMo+CNN+GloVe-jur,glove,Nilc,glove,Não,300,glove_300,1,4,10,0:47:27.767657,2847.0,284.7,0.9953199832466326,0.9955233302780695,0.9473864806130619,0.944792973651192,0.9460879497429541,10.66678514144172,0.9897219564524079,0.9899249079470007,0.9130213631739573,0.9339229968782519,0.9233539094649706,38.52162583214896,0.9887732901930157,0.9889406448733683,0.9044334975369458,0.9184592296148074,0.9113924050632412,37.82185522488185
datalawyer-ft_ELMo+CNN+GloVe-jur_2,datalawyer-ft,ELMo+CNN+GloVe-jur,glove,Nilc,glove,Não,300,glove_300,2,6,10,0:47:33.951579,2853.0,285.3,0.9955081551264697,0.9956963270063068,0.9501946416304099,0.9466179993156154,0.9484029484028985,10.390405326167498,0.9894030326751906,0.9896204807051114,0.9092299847016828,0.9276795005202914,0.9183620911665739,42.11255138942173,0.988954591096731,0.9890661608836328,0.908641975308642,0.9204602301150575,0.9145129224651587,40.88152360916138
datalawyer-ft_ELMo+CNN+GloVe-jur_3,datalawyer-ft,ELMo+CNN+GloVe-jur,glove,Nilc,glove,Não,300,glove_300,3,4,10,0:47:30.321388,2850.0,285.0,0.9957752377946256,0.9959725147654225,0.9517714285714286,0.9499258583323827,0.9508477479019881,10.368334266671374,0.9900408802296251,0.990272824794874,0.9212026956972524,0.9245577523413111,0.9228771747597527,37.24274142129081,0.9898471493919446,0.9900145040722972,0.9084611578426521,0.9184592296148074,0.9134328358208456,34.96345846993582
