Training_ID,Corpus,Fine_Tuning,Model,Representation,Embedding,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
harem-ft_ELMo_4_0,Wikipedia,Sim,harem-ft,ELMo,No,No,4,0,7,10,0:08:12.426700,492.0,49.2,0.993143245078072,0.9936863543788187,0.9201541850220264,0.9074124355145262,0.9137388926862112,63.777293149162745,0.9826646854878652,0.9836552748885586,0.8380952380952379,0.8441247002398079,0.8410991636797587,170.13560104370117,0.9764052532833021,0.9780863039399624,0.7935142289874255,0.8006677796327212,0.7970749542961107,247.35955641004773
harem-ft_ELMo_0_0,Wikipedia,Sim,harem-ft,ELMo,No,No,0,0,8,10,0:08:27.577754,507.0,50.7,0.9938202498768528,0.9942120818592988,0.9276351720371382,0.9161272923408845,0.9218453188601943,56.4786335440243,0.9786908534586384,0.980767129275489,0.786240786240786,0.8163265306122447,0.8010012515644055,217.96714401245117,0.977140712945591,0.9788818011257036,0.8178670360110804,0.7886477462437396,0.8029916709161493,255.1387277532507
harem-ft_ELMo_0_1,Wikipedia,Sim,harem-ft,ELMo,No,No,0,1,9,10,0:08:14.874380,494.0,49.4,0.9937754690788589,0.9942008866598003,0.9291381668946649,0.9158576051779935,0.9224500882791841,56.51039255366606,0.9784722981094962,0.980767129275489,0.7920792079207919,0.8163265306122447,0.8040201005024624,209.5340805053711,0.9782363977485928,0.9799924953095684,0.8225584594222833,0.7986644407345576,0.8104353718447747,266.73267710650407
harem-ft_ELMo_0_2,Wikipedia,Sim,harem-ft,ELMo,No,No,0,2,9,10,0:09:23.812513,563.0,56.3,0.9939545922708343,0.9943128386547848,0.9305251641137856,0.9174757281553398,0.9239543726235241,56.57884003134335,0.9784722981094962,0.9808764069500601,0.7906403940886697,0.8188775510204079,0.8045112781954386,211.3167495727539,0.9783564727954972,0.9801275797373359,0.8223367697594501,0.7989983305509182,0.8104995766299247,265.1467935067636
harem-ft_ELMo_0_3,Wikipedia,Sim,harem-ft,ELMo,No,No,0,3,8,10,0:10:16.532495,616.0,61.6,0.9937866642783575,0.9942344722582956,0.9291962821213778,0.9166666666666666,0.9228889492261244,56.62941102420582,0.9778166320620697,0.9800021855534914,0.7897310513447431,0.8239795918367344,0.8064918851435202,217.38529014587402,0.9774709193245779,0.9791519699812383,0.8205659075224293,0.7939899833055092,0.8070592228066699,253.31468504446525
harem-ft_ELMo_0_4,Wikipedia,Sim,harem-ft,ELMo,No,No,0,4,9,10,0:08:28.022650,508.0,50.8,0.9938426402758497,0.9942456674577941,0.9295081967213115,0.9174757281553398,0.9234527687295918,56.66893008176018,0.9791279641569227,0.9813135176483444,0.7911547911547909,0.8214285714285712,0.8060075093866833,209.31412887573242,0.9780262664165104,0.9797973733583489,0.8215024121295658,0.7959933222036728,0.8085467186704605,267.09447239063405
harem-ft_ELMo_1_0,Wikipedia,Sim,harem-ft,ELMo,No,No,1,0,9,10,0:08:48.897678,528.0,52.8,0.9930908145149435,0.9937014462926735,0.9204359673024524,0.9087974172719936,0.914579666982487,63.36581897735596,0.9864568810993826,0.9875522804222266,0.8502538071065987,0.8746736292428196,0.8622908622908121,131.05105209350586,0.97787617260788,0.9793170731707317,0.8088978766430738,0.8013355592654424,0.8050989600804599,248.81292823508934
harem-ft_ELMo_1_1,Wikipedia,Sim,harem-ft,ELMo,No,No,1,1,9,10,0:07:36.977821,456.0,45.6,0.9929438105684529,0.9935770583379507,0.9184619580038178,0.906107075598601,0.9122426868905242,63.40439462661743,0.9865564628560047,0.987751443935471,0.8502538071065987,0.8746736292428196,0.8622908622908121,131.23196983337402,0.9780262664165104,0.9795422138836773,0.8088185796028273,0.8023372287145242,0.8055648675829202,247.07556583263255
harem-ft_ELMo_1_2,Wikipedia,Sim,harem-ft,ELMo,No,No,1,2,9,10,0:08:16.986952,496.0,49.6,0.9929664265602207,0.9935883663338346,0.9199128302914737,0.9085283831046543,0.9141851651325976,63.76233962002922,0.9863572993427604,0.9874526986656045,0.8473282442748089,0.8694516971279371,0.8582474226803622,130.1764850616455,0.9779962476547842,0.979452157598499,0.8104265402843602,0.7993322203672788,0.8048411497730211,248.51346079508463
harem-ft_ELMo_1_3,Wikipedia,Sim,harem-ft,ELMo,No,No,1,3,9,10,0:08:37.446772,517.0,51.7,0.9930003505478724,0.993656214309138,0.9189115646258503,0.9085283831046543,0.9136904761904262,63.22436986250036,0.9859589723162716,0.9871539533957379,0.845177664974619,0.8694516971279371,0.857142857142807,130.42477226257324,0.9778461538461538,0.9793621013133208,0.8085897869462293,0.798330550918197,0.8034274193547888,248.057059040776
harem-ft_ELMo_1_4,Wikipedia,Sim,harem-ft,ELMo,No,No,1,4,9,10,0:08:24.504052,504.0,50.4,0.9928420386054979,0.9935092103626474,0.9163031624863686,0.9042238364272263,0.9102234258631864,63.16047601138844,0.9864568810993826,0.9875522804222266,0.8520408163265304,0.8720626631853783,0.8619354838709176,129.63886642456055,0.9777560975609756,0.9792870544090057,0.8077702702702703,0.798330550918197,0.8030226700251389,249.34094012225117
harem-ft_ELMo_2_0,Wikipedia,Sim,harem-ft,ELMo,No,No,2,0,9,10,0:09:14.266500,554.0,55.4,0.9933668022080371,0.993821130823925,0.9185495118549512,0.9074125103334252,0.9129470474077682,58.86992925756118,0.9807342087606633,0.9815968561295888,0.8225806451612901,0.8662420382165603,0.8438469493277679,197.89892959594727,0.9783864915572232,0.9800225140712946,0.8215384615384616,0.8023372287145242,0.8118243243242743,262.42200809054907
harem-ft_ELMo_2_1,Wikipedia,Sim,harem-ft,ELMo,No,No,2,1,9,10,0:07:56.710063,476.0,47.6,0.9936961904545558,0.9941505190704436,0.9212357361536321,0.9120969964177459,0.9166435890334588,57.69225159813376,0.9816927058372472,0.9825553532061727,0.8370672097759673,0.8726114649681527,0.8544698544698043,203.63297080993652,0.9785065666041276,0.9800525328330206,0.8214650766609881,0.805008347245409,0.8131534569982638,260.3677101135254
