Training_ID,Model,Representation,Embedding,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
harem-ft_ELMo_4_1,harem-ft,ELMo,No,No,4,1,0,1,00:00:53,53.0,53.0,0.9193935279474994,0.9262502828694275,0.24867724867724866,0.1786587021449905,0.20793174277132123,260.2106556109528,0.9658246656760773,0.9683011391778108,0.6397984886649872,0.6091127098321342,0.624078624078574,92.42411142985026,0.9606904315196998,0.9636172607879925,0.6526019690576652,0.6196994991652754,0.6357252954272492,93.73986813707172
harem-ft_ELMo_0_0,harem-ft,ELMo,No,No,0,0,0,1,00:00:54,54.0,54.0,0.9204021315659845,0.9269289328735838,0.2509252405625463,0.18284789644012944,0.2115444617784224,258.2821946499953,0.9648125887881106,0.9676538083269588,0.6621253405994548,0.6198979591836733,0.6403162055335466,84.97933756510416,0.9638424015009381,0.9666791744840525,0.6951219512195121,0.6470784641068448,0.6702403596748594,89.5575160800286
harem-ft_ELMo_0_1,harem-ft,ELMo,No,No,0,1,0,1,00:00:54,54.0,54.0,0.9203909363664861,0.9269289328735838,0.2502772643253235,0.1825782092772384,0.21113363480425498,258.28269434686916,0.9648125887881106,0.9676538083269588,0.6603260869565215,0.6198979591836733,0.6394736842104762,85.00835876464843,0.9637973733583489,0.9666341463414634,0.6941260744985673,0.6470784641068448,0.6697770865733043,89.52473949036508
harem-ft_ELMo_0_2,harem-ft,ELMo,No,No,0,2,0,1,00:00:54,54.0,54.0,0.9203797411669876,0.9269177376740854,0.25064790818215477,0.1825782092772384,0.21126540801992316,258.28647610678604,0.9648125887881106,0.9676538083269588,0.6621253405994548,0.6198979591836733,0.6403162055335466,85.0003880818685,0.963782363977486,0.9666191369606004,0.6944045911047346,0.6464106844741235,0.6695486771571351,89.5373537765359
harem-ft_ELMo_0_3,harem-ft,ELMo,No,No,0,3,0,1,00:00:54,54.0,54.0,0.9203685459674892,0.9269065424745869,0.2502776749352092,0.18230852211434737,0.21095334685593503,258.2797729435252,0.9648125887881106,0.9676538083269588,0.6621253405994548,0.6198979591836733,0.6403162055335466,84.99841512044271,0.9637973733583489,0.9666341463414634,0.6947632711621234,0.6467445742904842,0.6698945184159972,89.53592710674934
harem-ft_ELMo_0_4,harem-ft,ELMo,No,No,0,4,0,1,00:00:54,54.0,54.0,0.9203797411669876,0.9269177376740854,0.25074074074074076,0.1825782092772384,0.21129837702866536,258.28661374903436,0.9648125887881106,0.9676538083269588,0.6621253405994548,0.6198979591836733,0.6403162055335466,84.99389241536458,0.9638424015009381,0.9666791744840525,0.6948727142344926,0.6470784641068448,0.6701244813277509,89.53593487109778
harem-ft_ELMo_1_0,harem-ft,ELMo,No,No,1,0,0,1,00:00:54,54.0,54.0,0.9177908699241234,0.9248470593556704,0.238828389034923,0.17110573042776434,0.1993730407523025,260.5928817862895,0.9730133439553874,0.9746066520613423,0.6530612244897958,0.6684073107049606,0.6606451612902725,72.1255605061849,0.9624765478424016,0.9651482176360225,0.6553017388339584,0.6417362270450752,0.6484480431848353,93.24348088030546
harem-ft_ELMo_1_1,harem-ft,ELMo,No,No,1,1,0,1,00:00:54,54.0,54.0,0.9178134859158912,0.9248583673515542,0.2391876645355397,0.17110573042776434,0.19949811794223496,260.58651915592935,0.9730133439553874,0.9746066520613423,0.6530612244897958,0.6684073107049606,0.6606451612902725,72.08383483886719,0.9624615384615385,0.9651482176360225,0.6555138272447935,0.6410684474123539,0.6482106684672019,93.21173052517872
harem-ft_ELMo_1_2,harem-ft,ELMo,No,No,1,2,0,1,00:00:54,54.0,54.0,0.9178021779200073,0.9248583673515542,0.238828389034923,0.17110573042776434,0.1993730407523025,260.59060085353565,0.9730133439553874,0.9746066520613423,0.6530612244897958,0.6684073107049606,0.6606451612902725,72.09597930908203,0.9624615384615385,0.9651332082551595,0.6550665301944729,0.6410684474123539,0.6479919001011988,93.20329983729236
harem-ft_ELMo_1_3,harem-ft,ELMo,No,No,1,3,0,1,00:00:54,54.0,54.0,0.9178700258953105,0.9249035993350898,0.24024024024024024,0.17218186709712133,0.2005955179438473,260.5993609357236,0.9732125074686317,0.9748058155745868,0.655612244897959,0.6710182767624019,0.6632258064515628,72.05648447672526,0.9624765478424016,0.9651482176360225,0.6551841746248295,0.6414023372287145,0.6482200101231153,93.17847217703765
