Training_ID,Model,Representation,Embedding,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
harem-ft_ELMo_0_0,harem-ft,ELMo,No,No,0,0,11,20,00:46:22,2782.0,139.1,0.9983766960727241,0.9984662576687117,0.9811117107393416,0.9805825242718447,0.9808470461288953,3.8494140818270286,0.9801114632280625,0.9821877390449131,0.823232323232323,0.8316326530612242,0.8274111675126402,62.998245302836104,0.9786116322701689,0.980187617260788,0.8295218295218295,0.7993322203672788,0.8141472538683397,77.24870476632748
harem-ft_ELMo_1_0,harem-ft,ELMo,No,No,1,0,12,20,00:22:47,1367.0,68.35,0.9978967127655965,0.998055024707971,0.9783725331170586,0.9736346516007532,0.9759978425026469,3.954796406204131,0.9896434973112925,0.9905397331208923,0.8791773778920305,0.8929503916449083,0.8860103626942503,35.35033003489176,0.9784015009380863,0.980202626641651,0.8239363542026981,0.7953255425709516,0.8093781855249246,83.97336587366068
harem-ft_ELMo_2_0,harem-ft,ELMo,No,No,2,0,13,20,00:19:09,1149.0,57.45,0.9981372526748598,0.9982621930442289,0.9776490066225165,0.9763020115734362,0.9769750448089946,3.8557898348836757,0.9843764976516821,0.9850474456052909,0.8470824949698187,0.8938428874734605,0.8698347107437516,59.390949440002444,0.9784615384615385,0.9800675422138837,0.8290598290598291,0.8096828046744574,0.8192567567567068,83.60904531658821
harem-ft_ELMo_3_0,harem-ft,ELMo,No,No,3,0,14,20,00:23:53,1433.0,71.65,0.997939537240331,0.9980521308337555,0.9756031444835999,0.9745464392093149,0.9750745055540004,4.64546412107215,0.9829192546583851,0.9842650103519669,0.8235294117647056,0.8599508599508597,0.8413461538461037,54.94350814819336,0.9790919324577861,0.9806529080675422,0.8263086335825969,0.811686143572621,0.8189321205995795,83.60529705263534
harem-ft_ELMo_4_0,harem-ft,ELMo,No,No,4,0,19,20,00:23:58,1438.0,71.9,0.997612582032134,0.997816248019914,0.9746732026143791,0.9717621504208526,0.9732154996600453,4.479836142997243,0.984348687469044,0.9856364536899456,0.8704156479217602,0.8537170263788967,0.8619854721549135,62.107900619506836,0.9779512195121951,0.9796022514071294,0.8140720598232495,0.7996661101836394,0.806804783560671,100.17520323339498
harem-ft_ELMo_5_0,harem-ft,ELMo,No,No,5,0,13,20,00:22:26,1346.0,67.3,0.9982622825032159,0.9984315407009546,0.9817488422773086,0.9780189959294436,0.9798803697661272,3.9630593247155645,0.9831523393890186,0.984370242565716,0.8454332552693207,0.8698795180722889,0.857482185273109,61.076297187805174,0.9781313320825515,0.9799024390243902,0.8231083844580777,0.8063439065108514,0.8146399055489465,82.89461820530441
harem-ft_ELMo_6_0,harem-ft,ELMo,No,No,6,0,13,20,00:30:54,1854.0,92.7,0.9977841840483862,0.997987677350065,0.9761064349714906,0.973726977248104,0.9749152542372381,4.5381793367551335,0.9881237524950099,0.9887225548902195,0.8672985781990519,0.8970588235294115,0.8819277108433233,43.81571655273437,0.9789268292682927,0.9804427767354597,0.8271349862258953,0.8020033388981636,0.8143753178504332,79.32498849113033
harem-ft_ELMo_7_0,harem-ft,ELMo,No,No,7,0,19,20,00:20:06,1206.0,60.3,0.9979514424321556,0.9981090237835283,0.9772911597729116,0.9764991896272285,0.976895014187222,4.271385634790605,0.9876453488372093,0.988891196013289,0.8753056234718823,0.8994974874371857,0.8872366790581901,45.661455408732095,0.9792270168855535,0.9808030018761726,0.8277038553394745,0.810016694490818,0.8187647654403819,93.03742759632614
harem-ft_ELMo_8_0,harem-ft,ELMo,No,No,8,0,10,20,00:19:01,1141.0,57.05,0.9979014229923239,0.9980136463617184,0.9734417344173442,0.9729144095341279,0.9731780005418086,4.509829607806099,0.9836660617059891,0.9853741859720294,0.8790123456790121,0.8725490196078429,0.8757687576875266,53.83497371673584,0.9788217636022514,0.9804727954971857,0.8341531974701335,0.7926544240400668,0.8128745077897122,74.8800971013195
harem-ft_ELMo_9_0,harem-ft,ELMo,No,No,9,0,19,20,00:21:14,1274.0,63.7,0.9982663478861908,0.998390989541432,0.9802328730029786,0.9786428764530954,0.9794372294371795,3.700817781820226,0.9827822343963999,0.9845431422422226,0.8450363196125905,0.8703241895261843,0.8574938574938074,76.21839720010757,0.9783864915572232,0.9800675422138837,0.8277282086479066,0.8053422370617697,0.8163817904890345,98.30160383908253
harem-ft_ELMo+CNN_0_0,harem-ft,ELMo+CNN,No,No,0,0,16,20,00:29:28,1768.0,88.4,0.9980856208857641,0.9982759392772379,0.9775675675675676,0.9754584681769147,0.976511879049626,3.5877182881778746,0.980767129275489,0.9832805157906239,0.8312655086848633,0.8545918367346936,0.8427672955974341,82.3325038909912,0.9788667917448405,0.9804427767354597,0.82,0.8076794657762938,0.8137931034482259,93.0897779914568
harem-ft_ELMo+CNN_1_0,harem-ft,ELMo+CNN,No,No,1,0,17,20,00:25:10,1510.0,75.5,0.9978740967738288,0.9980776406997388,0.9776400862068966,0.9763249932741458,0.9769820971866509,4.509836130511405,0.9881497709619598,0.9891455885281817,0.8821989528795809,0.8798955613577021,0.8810457516339367,41.37227872212728,0.9787016885553471,0.9803977485928705,0.8274199104374784,0.8020033388981636,0.8145133943709232,92.39811455528691
harem-ft_ELMo+CNN_2_0,harem-ft,ELMo+CNN,No,No,2,0,10,20,00:20:42,1242.0,62.1,0.9980804615978738,0.9982621930442289,0.9768211920529801,0.9754753375585561,0.9761478009099183,3.8919773283067034,0.9856225438512413,0.986772740343142,0.8657024793388428,0.889596602972399,0.8774869109947142,50.75371297200521,0.9788217636022514,0.9807279549718574,0.8460436806301468,0.7889816360601002,0.8165169315825347,79.52482874888294
harem-ft_ELMo+CNN_3_0,harem-ft,ELMo+CNN,No,No,3,0,17,20,00:24:48,1488.0,74.4,0.998063390193098,0.9982435399425773,0.9788043478260869,0.975358786894124,0.9770785297707354,3.890832733529717,0.9833333333333333,0.984472049689441,0.8252873563218389,0.8820638820638819,0.852731591448881,64.977809715271,0.978266416510319,0.9798574108818011,0.8139066174000672,0.8090150250417363,0.8114534494306265,89.03285903750725
