Training_ID,Model,Representation,Embedding,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
datalawyer_ELMo+Embeddings_fasttext_skip_0,datalawyer,ELMo+Embeddings,fasttext,skip,,0,14,20,01:24:14,5054.0,252.7,0.996088647086849,0.9962231238569474,0.9509532344793873,0.9528163265306122,0.9518838688631045,6.421365557080375,0.9874600033292027,0.9879408881572863,0.8800888230940045,0.8953313253012049,0.8876446435236529,32.009711569753186,0.9875022003168457,0.9881182890336209,0.852559205500382,0.8746081504702194,0.8634429400386348,40.25055142106681
datalawyer_ELMo+Embeddings_fasttext_cbow_0,datalawyer,ELMo+Embeddings,fasttext,cbow,,0,15,20,01:21:41,4901.0,245.05,0.9928573624110533,0.9931916332395838,0.9171984945180821,0.9151020408163265,0.9161490683229314,11.22093478109124,0.9879593837275973,0.9883662862744372,0.8880540946656649,0.8900602409638554,0.8890560361037484,25.840158495409735,0.9867452913219503,0.9873085724344306,0.8569230769230769,0.8730407523510971,0.8649068322980866,32.92042393519961
datalawyer_ELMo+Embeddings_wang2vec_skip_0,datalawyer,ELMo+Embeddings,wang2vec,skip,,0,9,20,01:20:22,4822.0,241.1,0.9960848048934176,0.9962500192109671,0.9547311652230757,0.9537959183673469,0.9542633126428772,6.287366421989464,0.9872380564854717,0.9875894723213791,0.8734455010972934,0.8990963855421686,0.8860853432281505,31.252085726836633,0.9871325470867804,0.9875726104559056,0.848714069591528,0.8793103448275862,0.8637413394918668,36.83374261856079
datalawyer_ELMo+Embeddings_word2vec_cbow_0,datalawyer,ELMo+Embeddings,word2vec,cbow,,0,9,20,01:20:57,4857.0,242.85,0.9964037069482226,0.9965458681051839,0.9575787240985479,0.958204081632653,0.9578913007996889,6.124067846946831,0.9868311539386317,0.9872195609151608,0.8716814159292036,0.8900602409638554,0.8807749627421259,35.672905609525486,0.9866396761133603,0.9872029572258405,0.8443935926773455,0.8675548589341693,0.855817549284836,41.391425297178074
datalawyer_ELMo+Embeddings_wang2vec_cbow_0,datalawyer,ELMo+Embeddings,wang2vec,cbow,,0,9,20,01:25:11,5111.0,255.55,0.9961501221817511,0.9962961255321438,0.9570682337577539,0.9572244897959183,0.9571463553995092,6.519313910433067,0.9874784988995136,0.9877559324541773,0.8757352941176471,0.8968373493975904,0.8861607142856643,32.07947100442031,0.9865164583700052,0.9870797394824855,0.8462709284627092,0.8714733542319749,0.8586872586872087,37.55080644015608
datalawyer_ELMo+Embeddings_glove_0,datalawyer,ELMo+Embeddings,glove,No,,0,11,20,01:31:37,5497.0,274.85,0.9962653879846927,0.9964037069482226,0.9535679374389052,0.9555918367346938,0.9545788143194478,6.221952105016616,0.9886067286884791,0.9890691179462519,0.8960546282245827,0.8893072289156626,0.8926681783824141,31.777266617478997,0.985882767118465,0.9866220735785953,0.858034321372855,0.8620689655172413,0.8600469116496764,42.73728339425449
datalawyer_ELMo+Embeddings_word2vec_skip_0,datalawyer,ELMo+Embeddings,word2vec,skip,,0,13,20,01:20:52,4852.0,242.6,0.996576605652635,0.9967110824227335,0.9585644371941272,0.9593469387755102,0.9589555283557233,5.754232276787782,0.987182569774539,0.9874784988995136,0.8719824433065106,0.8975903614457831,0.8846011131724918,34.64779612113689,0.9867804963914804,0.9873085724344306,0.8415094339622642,0.8738244514106583,0.857362552864233,40.853080733069056
datalawyer-ft_ELMo_0,datalawyer-ft,ELMo,No,No,,0,17,20,1:29:06.965009,5346.0,267.3,0.9967840840979298,0.9969070342877342,0.9650326797385621,0.9642448979591837,0.9646386280113832,5.799219378950658,0.9868311539386317,0.9871640742042281,0.8728750923872876,0.8893072289156626,0.8810145468108416,41.36188618068037,0.9863404330223552,0.9869037141348355,0.851258581235698,0.8746081504702194,0.8627754155391847,46.26257179523336
datalawyer-ft_ELMo+CNN+Embeddings_wang2vec_cbow_0,datalawyer-ft,ELMo+CNN+Embeddings,wang2vec,cbow,,0,11,20,01:34:41,5681.0,284.05,0.9971106705395977,0.9971990409885195,0.9692659800555828,0.968,0.9686325763763591,4.979233322685715,0.9870900919229845,0.9875154900401354,0.8950191570881226,0.8795180722891566,0.8872009115077358,40.89101817690093,0.9867276887871853,0.9872557648301356,0.8772908366533865,0.8628526645768025,0.8700118530224709,46.374492826132936
datalawyer-ft_ELMo+CNN+Embeddings_fasttext_cbow_0,datalawyer-ft,ELMo+CNN+Embeddings,fasttext,cbow,,0,9,20,01:32:15,5535.0,276.75,0.9939754406995865,0.9942559208200777,0.9347219944234869,0.9304489795918367,0.9325805923743569,8.85133316238648,0.9868866406495644,0.9871640742042281,0.8736223365172667,0.8953313253012049,0.8843436221643235,28.907919332898896,0.9865164583700052,0.9870973420172505,0.8430629264594389,0.8714733542319749,0.8570327552986012,33.76915058596381
datalawyer-ft_ELMo+CNN+Embeddings_word2vec_cbow_0,datalawyer-ft,ELMo+CNN+Embeddings,word2vec,cbow,,0,14,20,01:39:43,5983.0,299.15,0.9970799329921466,0.9971951987950881,0.9679686223239091,0.9670204081632653,0.9674942829140304,5.128267982352622,0.9875524811807572,0.9881073482900845,0.8855421686746988,0.8855421686746988,0.885542168674649,41.55189922760273,0.9860411899313501,0.9867276887871853,0.8576982892690513,0.8644200626959248,0.8610460577673192,52.6962743627614
