Training_ID,Scenario,Model,Embedding,Batch_Size,ELMo_Dropout,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
selective_harem-ft_fasttext_64_0_1_4,selective,harem-ft,fasttext,64,0,1,4,19,20,00:22:20,1340.0,67.0,0.9985073445433266,0.9986204245021655,0.981421647819063,0.9806295399515739,0.9810254339926832,6.775234600501274,0.989344752041426,0.9903405696076478,0.8820512820512818,0.8981723237597908,0.8900388098317737,75.29462170600891,0.978656660412758,0.9802776735459662,0.8184563758389262,0.8143572621035059,0.8164016736401174,182.9420521214323
selective_harem-ft_none_64_0_1_0,selective,harem-ft,none,64,0,1,0,14,20,00:22:25,1345.0,67.25,0.9979871767326677,0.9981002566915066,0.9765498652291105,0.9747107882701103,0.9756294600780434,8.974380968221977,0.9882493527185819,0.989344752041426,0.8811369509043925,0.8903394255874671,0.8857142857142355,70.38432443141937,0.9790769230769231,0.9807729831144465,0.8384723195515067,0.7989983305509182,0.8182595315438037,157.50592332516075
selective_harem-ft_wang2vec_64_0_6_2,selective,harem-ft,wang2vec,64,0,6,2,18,20,00:21:43,1303.0,65.15,0.9985529365213951,0.9986659883556611,0.9861337683523654,0.9823943661971831,0.9842605156037494,6.630927131247165,0.9867265469061877,0.9875249500998003,0.8588235294117644,0.8946078431372546,0.8763505402160362,90.92333483695984,0.9783414634146341,0.9799024390243902,0.8214892893573614,0.806677796327212,0.8140161725066885,173.95136782808123
selective_harem-ft_fasttext_64_0_4_3,selective,harem-ft,fasttext,64,0,4,3,13,20,00:22:16,1336.0,66.8,0.9986422267481331,0.9987780040733197,0.9866521383819122,0.9834374151506924,0.9850421539297841,6.64882431012481,0.9847449232293215,0.9859336305101536,0.8808933002481387,0.8513189448441245,0.8658536585365352,104.28234481811523,0.9782814258911819,0.9800675422138837,0.8114478114478114,0.8046744574290484,0.8080469404861194,160.93563198593426
selective_harem-ft_fasttext_64_0_8_1,selective,harem-ft,fasttext,64,0,8,1,12,20,00:22:32,1352.0,67.6,0.9985410961978722,0.9986420972303273,0.9823704909140223,0.9810400866738895,0.981704838053887,6.213424501134388,0.9862282481050496,0.9876160990712074,0.8968058968058965,0.8946078431372546,0.8957055214723424,94.7973518371582,0.9781763602251408,0.9799924953095684,0.8169491525423729,0.8046744574290484,0.8107653490327508,156.50440435589485
selective_harem-ft_glove_64_0_3_5,selective,harem-ft,glove,64,0,3,5,17,20,00:22:07,1327.0,66.35,0.9982097618645499,0.9983561335360018,0.9812957441040933,0.9802328730029786,0.9807640205905759,7.447874383250279,0.9842650103519669,0.9853002070393375,0.8388625592417059,0.8697788697788695,0.8540410132689485,116.83026838302612,0.978671669793621,0.9804427767354597,0.8321116928446771,0.7959933222036728,0.813651877133056,188.68734039450592
selective_harem-ft_word2vec_64_0_5_3,selective,harem-ft,word2vec,64,0,5,3,17,20,00:21:46,1306.0,65.3,0.9989167475344722,0.9989618830538692,0.9861563517915309,0.9858887381275441,0.9860225268014157,5.12053576956934,0.9835583071145844,0.9848777022226733,0.8581395348837207,0.8891566265060239,0.8733727810650387,127.84826231002808,0.978686679174484,0.9804577861163227,0.8324175824175825,0.8093489148580968,0.8207211782630277,190.7969265344008
selective_harem-ft_word2vec_64_0_8_3,selective,harem-ft,word2vec,64,0,8,3,14,20,00:22:21,1341.0,67.05,0.9988328769582978,0.9989002109799344,0.9866920152091255,0.9840195016251354,0.9853539462977532,5.343060395610866,0.9851606704387744,0.9866552791715597,0.8947368421052629,0.8749999999999998,0.8847583643122174,122.4884467124939,0.9788517823639775,0.9804277673545966,0.8356643356643356,0.7979966611018364,0.8163962425277042,176.39472698715497
selective_harem-ft_word2vec_64_0_7_1,selective,harem-ft,word2vec,64,0,7,1,13,20,00:21:49,1309.0,65.45,0.9986605585133325,0.9987843724322681,0.9846112311015118,0.9851431658562939,0.9848771266540143,5.646694646842444,0.9884759136212624,0.9896179401993356,0.8807785888077856,0.9095477386934671,0.8949320148330772,69.93261802196503,0.9781613508442777,0.9796022514071294,0.8032679738562092,0.8207011686143573,0.8118909991741863,157.04215424015837
selective_harem-ft_fasttext_64_0_6_3,selective,harem-ft,fasttext,64,0,6,3,14,20,00:21:38,1298.0,64.9,0.9984059691368492,0.9984851054208355,0.9810195227765727,0.9799566630552546,0.9804878048779988,7.486081887536974,0.9872255489021956,0.9879241516966067,0.8713592233009706,0.8799019607843135,0.8756097560975108,91.51643586158752,0.9783864915572232,0.9800975609756097,0.8326315789473684,0.7923205342237062,0.8119760479041417,176.21406418422484
