Training_ID,Model,Embedding,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
harem_glove_4_0,harem,glove,No,4,0,14,20,00:20:37,1237.0,61.85,0.9987101154107264,0.9987780040733197,0.9847743338771071,0.9834374151506924,0.9841054204591269,2.518671655276818,0.9868251609707777,0.9882119861317484,0.8985148514851483,0.870503597122302,0.884287454323945,38.84547309875488,0.9786116322701689,0.9803227016885554,0.8361111111111111,0.8040066777963272,0.8197446808510139,86.92371829050892
harem_FastText_cbow_0_0,harem,FastText,cbow,0,0,18,20,00:21:34,1294.0,64.7,0.9962384129685191,0.9965742689534728,0.9568638090070537,0.9511866235167206,0.9540167703542913,6.895695967794354,0.979565074855207,0.9818599060211999,0.820448877805486,0.8392857142857141,0.8297604035308452,64.836776415507,0.9777260787992496,0.9795872420262665,0.8266115132712858,0.8006677796327212,0.8134328358208456,78.89345860931108
harem_FastText_cbow_1_0,harem,FastText,cbow,1,0,17,20,00:21:25,1285.0,64.25,0.9962570533624325,0.996618909230717,0.9597406106457714,0.9556093623890234,0.9576705311404191,6.8954215676926855,0.9876518621788488,0.9884485162318263,0.8762886597938142,0.8877284595300259,0.881971465629003,35.03866507212321,0.9772607879924953,0.9791669793621013,0.8147512864493996,0.7929883138564274,0.8037225042300685,79.71881448997641
harem_FastText_cbow_2_0,harem,FastText,cbow,2,0,17,20,00:22:48,1368.0,68.4,0.9964675950114718,0.9968083414733877,0.9592459107291378,0.9534306971617525,0.9563294637921005,6.074135646224022,0.9850474456052909,0.9859100929742164,0.8514056224899597,0.9002123142250529,0.8751289989679581,44.35089219411214,0.9780112570356473,0.9798273921200751,0.8158249158249158,0.8090150250417363,0.8124056999161278,72.49451246801412
harem_FastText_cbow_3_0,harem,FastText,cbow,3,0,15,20,00:22:32,1352.0,67.6,0.9963857456510724,0.996746045150031,0.9606085302906818,0.9574871378283238,0.9590452942771401,6.666628739727077,0.9832298136645963,0.9841614906832298,0.8337182448036949,0.8869778869778867,0.8595238095237594,46.98013509114583,0.9772457786116323,0.9791519699812383,0.8136456211812627,0.8003338898163606,0.8069348594512209,70.73159814330766
harem_FastText_cbow_4_0,harem,FastText,cbow,4,0,7,20,00:20:33,1233.0,61.65,0.9965037338764426,0.9968092328581127,0.9635815991237678,0.9554710833559598,0.9595092024539378,6.776945051417422,0.9865279841505696,0.9879148093115404,0.8771084337349395,0.8729016786570741,0.8749999999999499,34.72798455556234,0.9768255159474671,0.978656660412758,0.8073701842546064,0.8046744574290484,0.8060200668895823,59.60365864465822
harem_FastText_cbow_5_0,harem,FastText,cbow,5,0,12,20,00:20:43,1243.0,62.15,0.9963101712892961,0.9966486876847735,0.9616743680347921,0.9601085481682496,0.9608908202063595,6.7250928714204194,0.9860956053993708,0.9870090327818939,0.8608490566037733,0.8795180722891563,0.8700834326578759,40.27238445281982,0.9774859287054409,0.9792570356472795,0.8176814585483316,0.7936560934891486,0.8054896645204516,70.80617984735741
harem_FastText_skip_0_0,harem,FastText,skip,0,0,17,20,00:21:17,1277.0,63.85,0.9988133088531638,0.9989252608481484,0.9862496629819358,0.9865156418554477,0.9863826344882877,2.6186968135550175,0.9805485739263469,0.9826248497431974,0.8096385542168673,0.8571428571428569,0.83271375464679,80.30784390767415,0.97753095684803,0.9792870544090057,0.8139219015280136,0.8003338898163606,0.8070707070706572,102.63899398299883
harem_FastText_skip_1_0,harem,FastText,skip,1,0,14,20,00:21:48,1308.0,65.4,0.9989596643786822,0.999072744337521,0.9881369641412779,0.9860102232983589,0.9870724481550807,2.4082925429206288,0.9881497709619598,0.9891455885281817,0.8915343915343913,0.8798955613577021,0.8856767411300418,39.41556135813395,0.9780712945590995,0.9796923076923076,0.8278972935461485,0.7966611018363939,0.8119789007996777,93.12981632520568
harem_FastText_skip_2_0,harem,FastText,skip,2,0,17,20,00:22:39,1359.0,67.95,0.9985120737829672,0.9986370141523364,0.9837331127653708,0.9831909616974374,0.9834619625137319,2.875621419622382,0.9852391450206077,0.9863893415125083,0.8594704684317717,0.8959660297239913,0.8773388773388273,61.57713279724121,0.9769005628517824,0.9788818011257036,0.8307420494699647,0.784974958263773,0.8072103004291346,112.15559819959245
