Training_ID,Scenario,Model,Representation,Embedding,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
harem-ft_ELMo+Embeddings_wang2vec_skip_selective_0_7,selective,harem-ft,ELMo+Embeddings,wang2vec,skip,0,7,28,53,01:01:25,3685.0,69.52830188679245,0.9994514352245757,0.9994738256235726,0.995407887628309,0.993797195253506,0.9946018893386815,0.894386678058376,0.980767129275489,0.9831712381160529,0.851282051282051,0.8469387755102038,0.8491048593349882,111.27382354736328,0.9779212007504691,0.9797373358348969,0.8418220946915351,0.7836393989983306,0.8116894345494918,134.04082314473277
harem-ft_ELMo+Embeddings_wang2vec_skip_total_0_4,total,harem-ft,ELMo+Embeddings,wang2vec,skip,0,4,49,74,01:14:32,4472.0,60.432432432432435,0.9995128417188757,0.9995581587682826,0.9957730812013348,0.9953302201467645,0.9955516014234377,1.088688379431616,0.9862852664576802,0.9871669278996865,0.8819999999999998,0.8664047151277012,0.8741328047571352,84.4592212677002,0.9654784240150094,0.9673095684803001,0.7815958066394875,0.7387833746215249,0.759586811942783,235.69209975116658
harem-ft_ELMo+Embeddings_wang2vec_skip_selective_0_9,selective,harem-ft,ELMo+Embeddings,wang2vec,skip,0,9,33,58,01:02:41,3761.0,64.84482758620689,0.9996865344140432,0.9997201200125386,0.9964940668824164,0.9964940668824164,0.9964940668823664,0.7723408487152809,0.9809856846246312,0.9832805157906239,0.8379052369077304,0.8571428571428569,0.8474148802017153,114.20681304931641,0.9789268292682927,0.9806529080675422,0.8342004856052723,0.8030050083472454,0.818305546104067,136.99454865365658
harem-ft_ELMo+Embeddings_wang2vec_skip_total_0_1,total,harem-ft,ELMo+Embeddings,wang2vec,skip,0,1,24,49,00:50:03,3003.0,61.285714285714285,0.9992635979471377,0.9992862564718411,0.992,0.9926617745163442,0.9923307769255919,1.4229407845926818,0.986873040752351,0.9869710031347962,0.8695652173913041,0.8644400785854615,0.8669950738915755,50.6619878133138,0.9646078799249531,0.9663639774859287,0.7813753581661891,0.7506193228736582,0.7656886143478373,166.06266446383495
harem-ft_ELMo+Embeddings_wang2vec_skip_total_0_0,total,harem-ft,ELMo+Embeddings,wang2vec,skip,0,0,50,75,02:18:18,8298.0,110.64,0.9995128417188757,0.9995128417188757,0.9951089373054691,0.9953302201467645,0.995219566425742,0.8209059855261289,0.9857954545454546,0.9862852664576802,0.8666666666666665,0.8683693516699409,0.8675171736996554,73.26253967285156,0.9646529080675422,0.9667842401500938,0.772635814889336,0.7398843930635838,0.7559055118109737,215.37881201618123
harem-ft_ELMo+Embeddings_wang2vec_skip_total_0_2,total,harem-ft,ELMo+Embeddings,wang2vec,skip,0,2,27,52,00:53:50,3230.0,62.11538461538461,0.9993429027835997,0.9993995490953584,0.9939986663703045,0.9944407382699577,0.9942196531791407,1.5534006172318513,0.9852076802507836,0.9856974921630094,0.8675889328063239,0.8624754420432218,0.8650246305418218,62.24460093180338,0.964968105065666,0.9671444652908068,0.7603905160390516,0.7503440682631434,0.7553338875034137,168.67414145199757
harem-ft_ELMo+Embeddings_wang2vec_skip_total_0_7,total,harem-ft,ELMo+Embeddings,wang2vec,skip,0,7,9,34,00:33:13,1993.0,58.61764705882353,0.9988557445024755,0.9989237200765858,0.9886490095704429,0.987769624193907,0.9882091212457786,2.4975176601767983,0.986775078369906,0.9869710031347962,0.8695652173913041,0.8644400785854615,0.8669950738915755,37.43925959269206,0.9630919324577861,0.9654784240150094,0.7648244099021301,0.7313515001376273,0.7477135218797868,114.97184549187715
harem-ft_ELMo+Embeddings_wang2vec_skip_selective_0_1,selective,harem-ft,ELMo+Embeddings,wang2vec,skip,0,1,28,53,01:08:48,4128.0,77.88679245283019,0.9996529488155479,0.9996865344140432,0.9959525094441446,0.9954153182308522,0.9956838413811206,0.641512707487416,0.9802207409026336,0.9824062943940552,0.8668407310704959,0.8469387755102038,0.8567741935483368,116.4661413828532,0.977906191369606,0.9797523452157598,0.8510091743119266,0.7742904841402337,0.810839160839111,137.51319933837314
harem-ft_ELMo+Embeddings_wang2vec_skip_selective_0_0,selective,harem-ft,ELMo+Embeddings,wang2vec,skip,0,0,25,50,01:16:09,4569.0,91.38,0.9994962160225696,0.9995298016210649,0.9945989738050229,0.9932578209277239,0.9939279449466509,1.142404234189707,0.9827341274177686,0.9847011255600481,0.8411910669975183,0.8647959183673467,0.8528301886791951,95.75594832102458,0.9781613508442777,0.9797373358348969,0.8291268758526603,0.811686143572621,0.8203138181204157,127.74484208844743
harem-ft_ELMo+Embeddings_wang2vec_skip_selective_0_4,selective,harem-ft,ELMo+Embeddings,wang2vec,skip,0,4,11,36,00:51:19,3079.0,85.52777777777777,0.9994626304240741,0.9994850208230711,0.9943335132218025,0.993797195253506,0.9940652818990598,1.2686859496466036,0.9812042399737734,0.9832805157906239,0.8417085427135677,0.8545918367346936,0.8481012658227347,74.43728249867758,0.9785065666041276,0.980187617260788,0.8343257443082311,0.7953255425709516,0.8143589743589245,82.92746936150317
harem-ft_ELMo+Embeddings_wang2vec_skip_total_0_3,total,harem-ft,ELMo+Embeddings,wang2vec,skip,0,3,62,75,01:17:13,4633.0,61.77333333333333,0.999501512456524,0.9995128417188757,0.9948877528339631,0.9953302201467645,0.9951089373054192,0.9787237656914365,0.9878526645768025,0.9881465517241379,0.8799999999999998,0.8644400785854615,0.8721506442021302,72.56436411539714,0.963812382739212,0.9663189493433396,0.7779394644935972,0.7357555739058629,0.7562597255622644,240.99854609651385
harem-ft_ELMo+Embeddings_wang2vec_skip_total_0_5,total,harem-ft,ELMo+Embeddings,wang2vec,skip,0,5,57,75,01:14:39,4479.0,59.72,0.9991956223730273,0.9992635979471377,0.9939986663703045,0.9944407382699577,0.9942196531791407,1.9714832339477517,0.9856974921630094,0.9858934169278997,0.8719999999999998,0.8565815324165028,0.8642220019821104,76.32420247395834,0.9654784240150094,0.9673545966228893,0.7855694001738627,0.7462152491054225,0.7653867871258676,225.63479281371494
