Training Round,Epochs,Scenario,Embedding,Tagging Scheme,Capitalisation Dim,Lower,Char LSTM Dim,Word LSTM Dim,Precision,Recall,F1 Score
0,5,selective,Wang2Vec,iob,False,False,25,100,58.95,54.79,56.79
0,5,selective,Wang2Vec,iob,False,False,25,200,61.6,52.06,56.43
0,5,selective,Wang2Vec,iob,False,False,50,100,66.5,47.47,55.4
0,5,selective,Wang2Vec,iob,False,False,50,200,58.54,50.74,54.36
0,5,selective,Wang2Vec,iob,False,True,25,100,66.28,67.73,67.0
0,5,selective,Wang2Vec,iob,False,True,25,200,71.0,62.67,66.58
0,5,selective,Wang2Vec,iob,False,True,50,100,70.14,65.18,67.57
0,5,selective,Wang2Vec,iob,False,True,50,200,66.93,63.57,65.21
0,5,selective,Wang2Vec,iob,True,False,25,100,58.62,57.55,58.08
0,5,selective,Wang2Vec,iob,True,False,25,200,64.42,50.45,56.59
0,5,selective,Wang2Vec,iob,True,False,50,100,66.29,48.87,56.26
0,5,selective,Wang2Vec,iob,True,False,50,200,57.48,26.17,35.97
0,5,selective,Wang2Vec,iob,True,True,25,100,70.32,62.53,66.2
0,5,selective,Wang2Vec,iob,True,True,25,200,69.64,62.93,66.11
0,5,selective,Wang2Vec,iob,True,True,50,100,69.42,64.29,66.75
0,5,selective,Wang2Vec,iob,True,True,50,200,68.37,64.72,66.49
0,5,selective,Wang2Vec,iobes,False,False,25,100,62.34,52.64,57.08
0,5,selective,Wang2Vec,iobes,False,False,25,200,59.79,51.34,55.25
0,5,selective,Wang2Vec,iobes,False,False,50,100,68.57,44.68,54.1
0,5,selective,Wang2Vec,iobes,False,False,50,200,59.35,54.03,56.57
0,5,selective,Wang2Vec,iobes,False,True,25,100,67.04,64.11,65.54
0,5,selective,Wang2Vec,iobes,False,True,25,200,69.78,62.6,66.0
0,5,selective,Wang2Vec,iobes,False,True,50,100,67.37,65.97,66.67
0,5,selective,Wang2Vec,iobes,False,True,50,200,1.09,6.92,1.88
0,5,selective,Wang2Vec,iobes,True,False,25,100,64.54,52.28,57.77
0,5,selective,Wang2Vec,iobes,True,False,25,200,58.86,54.54,56.62
0,5,selective,Wang2Vec,iobes,True,False,50,100,61.45,50.41,55.39
0,5,selective,Wang2Vec,iobes,True,False,50,200,61.48,55.11,58.12
0,5,selective,Wang2Vec,iobes,True,True,25,100,68.14,64.5,66.27
0,5,selective,Wang2Vec,iobes,True,True,25,200,68.93,65.15,66.99
0,5,selective,Wang2Vec,iobes,True,True,50,100,67.96,65.54,66.73
0,5,selective,Wang2Vec,iobes,True,True,50,200,69.48,63.36,66.28
1,5,selective,Wang2Vec,iob,False,False,25,100,61.85,51.27,56.07
1,5,selective,Wang2Vec,iob,False,False,25,200,56.21,51.63,53.82
1,5,selective,Wang2Vec,iob,False,False,50,100,67.49,47.19,55.54
1,5,selective,Wang2Vec,iob,False,False,50,200,55.18,55.4,55.29
1,5,selective,Wang2Vec,iob,False,True,25,100,6.3,4.34,5.14
1,5,selective,Wang2Vec,iob,False,True,25,200,67.96,65.94,66.93
1,5,selective,Wang2Vec,iob,False,True,50,100,68.92,63.93,66.33
1,5,selective,Wang2Vec,iob,False,True,50,200,69.12,65.08,67.04
1,5,selective,Wang2Vec,iob,True,False,25,100,57.52,55.79,56.64
1,5,selective,Wang2Vec,iob,True,False,25,200,62.77,52.96,57.45
1,5,selective,Wang2Vec,iob,True,False,50,100,58.25,53.28,55.66
1,5,selective,Wang2Vec,iob,True,False,50,200,55.42,58.69,57.01
1,5,selective,Wang2Vec,iob,True,True,25,100,72.07,64.29,67.96
1,5,selective,Wang2Vec,iob,True,True,25,200,66.6,50.7,57.57
1,5,selective,Wang2Vec,iob,True,True,50,100,65.53,68.16,66.82
1,5,selective,Wang2Vec,iob,True,True,50,200,69.04,64.43,66.65
1,5,selective,Wang2Vec,iobes,False,False,25,100,62.83,50.13,55.76
1,5,selective,Wang2Vec,iobes,False,False,25,200,62.47,48.87,54.84
1,5,selective,Wang2Vec,iobes,False,False,50,100,62.58,51.27,56.37
1,5,selective,Wang2Vec,iobes,False,False,50,200,63.49,47.83,54.56
1,5,selective,Wang2Vec,iobes,False,True,25,100,65.56,67.44,66.49
1,5,selective,Wang2Vec,iobes,False,True,25,200,68.39,65.4,66.86
1,5,selective,Wang2Vec,iobes,False,True,50,100,54.91,33.49,41.6
1,5,selective,Wang2Vec,iobes,False,True,50,200,68.18,67.69,67.94
1,5,selective,Wang2Vec,iobes,True,False,25,100,67.99,49.05,56.99
1,5,selective,Wang2Vec,iobes,True,False,25,200,55.97,53.1,54.5
1,5,selective,Wang2Vec,iobes,True,False,50,100,63.78,51.45,56.96
1,5,selective,Wang2Vec,iobes,True,False,50,200,59.66,53.6,56.47
1,5,selective,Wang2Vec,iobes,True,True,25,100,68.98,65.79,67.35
1,5,selective,Wang2Vec,iobes,True,True,25,200,67.23,68.77,67.99
1,5,selective,Wang2Vec,iobes,True,True,50,100,69.3,63.46,66.25
1,5,selective,Wang2Vec,iobes,True,True,50,200,68.85,62.67,65.62
2,5,selective,Wang2Vec,iob,False,False,25,100,61.27,53.32,57.02
2,5,selective,Wang2Vec,iob,False,False,25,200,65.25,47.26,54.81
2,5,selective,Wang2Vec,iob,False,False,50,100,57.63,57.01,57.32
2,5,selective,Wang2Vec,iob,False,False,50,200,61.6,51.42,56.05
2,5,selective,Wang2Vec,iob,False,True,25,100,0.0,0.0,0.0
2,5,selective,Wang2Vec,iob,False,True,25,200,65.21,67.87,66.51
2,5,selective,Wang2Vec,iob,False,True,50,100,69.69,64.79,67.15
2,5,selective,Wang2Vec,iob,False,True,50,200,72.78,63.93,68.07
