,Training_Round,Epochs,Scenario,Embedding,Tagging_Scheme,Capitalisation_Dim,Lower,Char_LSTM_Dim,Word_LSTM_Dim,Precision,Recall,F1_Score
320,0,5,selective,FastText,IOB2,False,False,25,100,58.83,56.51,57.64
352,1,5,selective,FastText,IOB2,False,False,25,100,64.86,50.77,56.96
384,2,5,selective,FastText,IOB2,False,False,25,100,63.22,51.77,56.93
416,3,5,selective,FastText,IOB2,False,False,25,100,59.05,56.76,57.88
448,4,5,selective,FastText,IOB2,False,False,25,100,58.87,55.11,56.93
480,5,5,selective,FastText,IOB2,False,False,25,100,59.32,48.73,53.5
512,6,5,selective,FastText,IOB2,False,False,25,100,59.65,50.99,54.98
544,7,5,selective,FastText,IOB2,False,False,25,100,63.9,50.59,56.47
576,8,5,selective,FastText,IOB2,False,False,25,100,59.73,56.47,58.05
608,9,5,selective,FastText,IOB2,False,False,25,100,62.26,55.36,58.61
321,0,5,selective,FastText,IOB2,False,False,25,200,61.47,47.54,53.62
353,1,5,selective,FastText,IOB2,False,False,25,200,59.18,53.53,56.21
385,2,5,selective,FastText,IOB2,False,False,25,200,59.14,51.85,55.25
417,3,5,selective,FastText,IOB2,False,False,25,200,64.73,46.65,54.22
449,4,5,selective,FastText,IOB2,False,False,25,200,59.54,54.18,56.73
481,5,5,selective,FastText,IOB2,False,False,25,200,60.04,50.81,55.04
545,7,5,selective,FastText,IOB2,False,False,25,200,63.99,49.7,55.94
577,8,5,selective,FastText,IOB2,False,False,25,200,62.53,51.09,56.24
322,0,5,selective,FastText,IOB2,False,False,50,100,63.31,50.48,56.17
386,2,5,selective,FastText,IOB2,False,False,50,100,63.67,48.83,55.28
418,3,5,selective,FastText,IOB2,False,False,50,100,55.8,57.4,56.59
450,4,5,selective,FastText,IOB2,False,False,50,100,57.93,55.29,56.58
482,5,5,selective,FastText,IOB2,False,False,50,100,62.74,49.7,55.46
514,6,5,selective,FastText,IOB2,False,False,50,100,65.21,49.12,56.03
546,7,5,selective,FastText,IOB2,False,False,50,100,58.32,58.66,58.49
578,8,5,selective,FastText,IOB2,False,False,50,100,63.83,50.48,56.38
610,9,5,selective,FastText,IOB2,False,False,50,100,66.93,47.9,55.84
323,0,5,selective,FastText,IOB2,False,False,50,200,60.44,52.1,55.96
387,2,5,selective,FastText,IOB2,False,False,50,200,62.07,51.81,56.48
419,3,5,selective,FastText,IOB2,False,False,50,200,60.07,52.49,56.03
451,4,5,selective,FastText,IOB2,False,False,50,200,62.26,52.06,56.71
483,5,5,selective,FastText,IOB2,False,False,50,200,61.19,53.32,56.98
515,6,5,selective,FastText,IOB2,False,False,50,200,63.76,50.16,56.15
547,7,5,selective,FastText,IOB2,False,False,50,200,59.25,53.85,56.42
611,9,5,selective,FastText,IOB2,False,False,50,200,66.88,47.87,55.8
324,0,5,selective,FastText,IOB2,False,True,25,100,65.9,65.54,65.72
356,1,5,selective,FastText,IOB2,False,True,25,100,65.59,68.02,66.78
388,2,5,selective,FastText,IOB2,False,True,25,100,68.06,60.88,64.27
420,3,5,selective,FastText,IOB2,False,True,25,100,65.48,64.22,64.84
452,4,5,selective,FastText,IOB2,False,True,25,100,62.95,68.66,65.68
484,5,5,selective,FastText,IOB2,False,True,25,100,66.98,65.76,66.37
516,6,5,selective,FastText,IOB2,False,True,25,100,65.37,65.51,65.44
548,7,5,selective,FastText,IOB2,False,True,25,100,64.63,64.4,64.51
580,8,5,selective,FastText,IOB2,False,True,25,100,65.45,62.89,64.14
612,9,5,selective,FastText,IOB2,False,True,25,100,70.89,59.73,64.84
357,1,5,selective,FastText,IOB2,False,True,25,200,64.76,62.93,63.83
389,2,5,selective,FastText,IOB2,False,True,25,200,64.95,62.24,63.57
421,3,5,selective,FastText,IOB2,False,True,25,200,69.79,61.89,65.6
453,4,5,selective,FastText,IOB2,False,True,25,200,68.91,61.74,65.13
485,5,5,selective,FastText,IOB2,False,True,25,200,63.28,65.61,64.43
517,6,5,selective,FastText,IOB2,False,True,25,200,66.55,65.61,66.08
549,7,5,selective,FastText,IOB2,False,True,25,200,67.9,62.96,65.34
613,9,5,selective,FastText,IOB2,False,True,25,200,64.45,61.56,62.97
326,0,5,selective,FastText,IOB2,False,True,50,100,70.2,57.44,63.18
390,2,5,selective,FastText,IOB2,False,True,50,100,66.39,63.46,64.89
422,3,5,selective,FastText,IOB2,False,True,50,100,66.75,64.0,65.35
454,4,5,selective,FastText,IOB2,False,True,50,100,68.59,61.53,64.86
486,5,5,selective,FastText,IOB2,False,True,50,100,73.04,58.87,65.2
518,6,5,selective,FastText,IOB2,False,True,50,100,64.64,66.48,65.55
582,8,5,selective,FastText,IOB2,False,True,50,100,67.28,61.85,64.45
614,9,5,selective,FastText,IOB2,False,True,50,100,66.87,65.51,66.18
327,0,5,selective,FastText,IOB2,False,True,50,200,64.21,64.97,64.59
359,1,5,selective,FastText,IOB2,False,True,50,200,70.51,58.73,64.08
391,2,5,selective,FastText,IOB2,False,True,50,200,68.45,61.53,64.8
423,3,5,selective,FastText,IOB2,False,True,50,200,68.42,62.14,65.13
455,4,5,selective,FastText,IOB2,False,True,50,200,65.83,63.68,64.73
487,5,5,selective,FastText,IOB2,False,True,50,200,66.58,64.22,65.38
519,6,5,selective,FastText,IOB2,False,True,50,200,64.7,66.51,65.59
551,7,5,selective,FastText,IOB2,False,True,50,200,67.18,62.96,65.0
583,8,5,selective,FastText,IOB2,False,True,50,200,62.07,64.14,63.09
615,9,5,selective,FastText,IOB2,False,True,50,200,64.4,63.5,63.95
328,0,5,selective,FastText,IOB2,True,False,25,100,68.63,48.01,56.5
360,1,5,selective,FastText,IOB2,True,False,25,100,58.89,51.06,54.7
392,2,5,selective,FastText,IOB2,True,False,25,100,61.24,50.48,55.35
424,3,5,selective,FastText,IOB2,True,False,25,100,59.05,56.51,57.75
456,4,5,selective,FastText,IOB2,True,False,25,100,54.3,55.97,55.12
488,5,5,selective,FastText,IOB2,True,False,25,100,58.26,51.34,54.58
520,6,5,selective,FastText,IOB2,True,False,25,100,60.17,56.54,58.3
552,7,5,selective,FastText,IOB2,True,False,25,100,61.11,49.3,54.57
584,8,5,selective,FastText,IOB2,True,False,25,100,60.23,55.32,57.67
616,9,5,selective,FastText,IOB2,True,False,25,100,60.78,55.5,58.02
329,0,5,selective,FastText,IOB2,True,False,25,200,58.4,51.74,54.87
361,1,5,selective,FastText,IOB2,True,False,25,200,58.95,56.08,57.48
393,2,5,selective,FastText,IOB2,True,False,25,200,61.59,52.49,56.68
425,3,5,selective,FastText,IOB2,True,False,25,200,54.02,56.11,55.05
457,4,5,selective,FastText,IOB2,True,False,25,200,59.49,50.59,54.68
489,5,5,selective,FastText,IOB2,True,False,25,200,58.13,53.17,55.54
521,6,5,selective,FastText,IOB2,True,False,25,200,64.07,51.27,56.96
553,7,5,selective,FastText,IOB2,True,False,25,200,65.43,48.87,55.95
585,8,5,selective,FastText,IOB2,True,False,25,200,62.84,50.81,56.19
330,0,5,selective,FastText,IOB2,True,False,50,100,65.1,51.02,57.21
362,1,5,selective,FastText,IOB2,True,False,50,100,55.75,55.97,55.86
394,2,5,selective,FastText,IOB2,True,False,50,100,64.08,52.71,57.84
426,3,5,selective,FastText,IOB2,True,False,50,100,57.36,55.75,56.55
458,4,5,selective,FastText,IOB2,True,False,50,100,61.02,53.39,56.95
490,5,5,selective,FastText,IOB2,True,False,50,100,63.06,51.77,56.86
522,6,5,selective,FastText,IOB2,True,False,50,100,60.35,54.46,57.26
554,7,5,selective,FastText,IOB2,True,False,50,100,64.94,50.34,56.72
586,8,5,selective,FastText,IOB2,True,False,50,100,67.22,47.72,55.82
618,9,5,selective,FastText,IOB2,True,False,50,100,62.5,49.84,55.46
331,0,5,selective,FastText,IOB2,True,False,50,200,65.6,50.95,57.36
363,1,5,selective,FastText,IOB2,True,False,50,200,60.51,50.99,55.34
395,2,5,selective,FastText,IOB2,True,False,50,200,59.79,53.21,56.31
427,3,5,selective,FastText,IOB2,True,False,50,200,56.4,57.48,56.93
459,4,5,selective,FastText,IOB2,True,False,50,200,61.97,51.88,56.48
491,5,5,selective,FastText,IOB2,True,False,50,200,57.81,56.01,56.89
523,6,5,selective,FastText,IOB2,True,False,50,200,59.14,56.01,57.53
587,8,5,selective,FastText,IOB2,True,False,50,200,63.16,50.41,56.07
332,0,5,selective,FastText,IOB2,True,True,25,100,70.04,64.04,66.9
364,1,5,selective,FastText,IOB2,True,True,25,100,67.07,65.36,66.21
