Embedding,Tagging Scheme,Lower,Capitalisation Dim,Char LSTM Dim,Word LSTM Dim,count,mean,std,min,25%,50%,75%,max
Wang2Vec,IOB2,True,False,50,100,10.0,66.901,0.721640877137344,65.44,66.425,67.105,67.4925,67.69
Wang2Vec,IOB2,True,True,25,100,9.0,66.89,1.1528009368490275,64.87,66.2,66.92,67.86,68.26
Wang2Vec,IOB2,True,False,50,200,6.0,66.81833333333333,1.0509503635598898,65.21,66.20750000000001,67.155,67.36,68.07
Wang2Vec,IOBES,True,True,25,200,10.0,66.788,0.7714315696590761,65.54,66.275,66.845,67.2,67.99
Wang2Vec,IOB2,True,True,50,100,10.0,66.66799999999999,0.7909740830141031,65.0,66.33,66.755,67.2925,67.64
Wang2Vec,IOB2,True,True,50,200,9.0,66.59555555555556,0.44190245278542867,65.94,66.28,66.65,66.82,67.22
Wang2Vec,IOBES,True,True,25,100,10.0,66.55,1.1050389636167184,63.99,66.2625,66.44,67.2775,67.87
Wang2Vec,IOBES,True,True,50,100,10.0,66.446,1.1032598162818326,63.63,66.315,66.63,66.7175,67.79
Wang2Vec,IOBES,True,False,50,100,7.0,66.37142857142857,0.8691265456657913,64.95,65.895,66.65,66.815,67.58
Wang2Vec,IOBES,True,True,50,200,10.0,66.328,0.41957120968913064,65.6,66.2125,66.46000000000001,66.61250000000001,66.78
Wang2Vec,IOBES,True,False,50,200,9.0,66.31555555555556,0.9106469007127714,64.87,66.16,66.18,66.85,67.94
Wang2Vec,IOBES,True,False,25,100,9.0,66.25000000000001,0.5601339125602002,65.51,65.63,66.47,66.63,66.92
Wang2Vec,IOB2,True,False,25,200,9.0,66.22777777777779,0.44675994050994167,65.47,65.86,66.25,66.51,66.93
Wang2Vec,IOB2,True,False,25,100,8.0,66.21875,1.4547011229606088,63.18,65.6825,66.685,67.07750000000001,67.74
Wang2Vec,IOBES,True,False,25,200,9.0,65.94,1.0307278981380077,64.15,65.72,66.0,66.31,67.6
FastText,IOB2,True,True,25,100,10.0,65.83599999999998,0.6117770109370846,64.78,65.475,65.78,66.1875,66.9
FastText,IOB2,True,True,50,100,9.0,65.70777777777778,0.9752150759932134,64.24,65.07,65.78,66.75,66.86
FastText,IOBES,True,True,25,100,9.0,65.44555555555556,0.7870373420478706,64.84,64.93,65.03,65.65,67.05
FastText,IOBES,True,True,50,200,8.0,65.2875,0.7173711930175543,64.08,64.72,65.535,65.775,66.11
