Created At,Text,Geo Coordinates.latitude,Geo Coordinates.longitude,User Location,Username,User Screen Name,Retweet Count,label,Observação,Id
Wed Jan 04 21:42:14 +0000 2017,RT @carlinibh: Cavalo emociona ao se despedir de dono em enterro - Nacional - Estado de Minas https://t.co/8IA3RQ8v99,,,BRASIL,RICARDO COSTA,RICARDO_COSTA01,3,Neutro,,2809
Thu Jan 05 15:26:29 +0000 2017,"RT @Antonio902Car: O governador de Minas Gerais, Fernando Pimentel, causou uma verdadeira comoção ao utilizar um helicóptero do... https://…",,,,Maria A. Pádua,maria_padu,1,Negativo,,2617
Thu Feb 02 13:15:45 +0000 2017,RT @Hugotim1: #timbeta #globo Suspeitos de envolvimento em roubo de bancos no Sul de MG são presos https://t.co/uwJxjYCtqu #OperacaoBetaLab…,,,"Rio de Janeiro, Brasil",edgar TIM BETA SDV,ecmedgarlab,3,Positivo,,7587
Wed Jan 04 11:15:43 +0000 2017,#timbeta #globo Mãe chama polícia para filho que estava com drogas em Pará de Minas https://t.co/8RNTBPsR6i #OperacaoBetaLab #Sigodevolta,,,,Hugo TIMBETA,Hugotim1,2,Positivo,,6065
Tue Jan 10 01:20:37 +0000 2017,"RT @rehventura: Eu queria ter a autoestima do Aecio. Perdeu em Minas p/ presidente, governador e agora a prefeitura, mas ainda acredita ter…",,,"Alasca, USA",Pam Ella,myycrush_,58,Neutro,,4123
Thu Jan 05 13:47:00 +0000 2017,RT @PortalMigalhas: BB e Estado de MG travam disputa jurídica envolvendo depósitos judiciais. https://t.co/SQfap6okaG,,,,cintiapupio,sophiewonderful,3,Negativo,,3993
Mon Jan 09 22:09:16 +0000 2017,Governo de Minas investiga casos suspeitos de febre amarela e malária no estado-https://t.co/gb05B3uD4O https://t.co/xVB9KBjTuH,,,Brasil - Goiânia,TopGyn Notícias,portaltopgyn,0,Neutro,,1249
Wed Jan 04 21:53:50 +0000 2017,"RT @oldairt: Rio e Minas Pensei que  estivessem em crise ""Governo de Minas Gerais compra mais dois helicópteros"" -  https://t.co/1HSg2dGCSZ",,,"Cuiabá, Mato Grosso",Paulo Roberto Rocha,PauloRo49195361,12,Negativo,,3923
Wed Jan 04 20:41:16 +0000 2017,"RT @AriSirius: Corruptos do PT @bobjackk @oipanue 
Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/StujBMYQTg…",,,Vitória/ES,Ary Moraes,AryMoraesX,8,Negativo,,2634
Thu Feb 09 15:28:24 +0000 2017,Polícia em MG apresenta rapaz que recebia drogas sintéticas via correios https://t.co/ziPthKzWpe,,,Guarulhos - SP,Leonardo Nascimento,leonardogru,0,Positivo,,8095
Fri Jan 06 14:29:48 +0000 2017,RT @pmmg190: @PMMG190 - PM intercepta autores em Carmo da Cachoeira e impede tráfico de drogas https://t.co/BlZShn3mqg,,,,Ian Querino,ianquerino,1,Positivo,,6767
